1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
3 0 TRANS50861 tumblr_n90sg5l6AP1qfgmtoo1_500 What does the girl do before rest arm on leg ?talk into microphone	What does the girl do before rest arm on leg ?grab man	What does the girl do before rest arm on leg ?blow a bubble	What does the girl do before rest arm on leg ?hand movements	What does the girl do before rest arm on leg ?fall off of car
0 4 TRANS18276 tumblr_nplgqa6TnF1su25v0o1_400 What does the toddler do after smile ?nod	What does the toddler do after smile ?slide	What does the toddler do after smile ?bang head	What does the toddler do after smile ?dance in white	What does the toddler do after smile ?pet lamb
1 3 TRANS53955 tumblr_nfcce89zzc1tubwqbo1_400 What do the singer who wears a white cloth do before push another singer ?open mouth	What do the singer who wears a white cloth do before push another singer ?point	What do the singer who wears a white cloth do before push another singer ?run to storefront	What do the singer who wears a white cloth do before push another singer ?sing and dance	What do the singer who wears a white cloth do before push another singer ?push
4 0 TRANS45876 tumblr_nkluxwUCXZ1up5k6ro1_250 What does the guy with duct tape over mouth do after stand up ?disappear	What does the guy with duct tape over mouth do after stand up ?kick opponent	What does the guy with duct tape over mouth do after stand up ?raise coat	What does the guy with duct tape over mouth do after stand up ?head back	What does the guy with duct tape over mouth do after stand up ?step away from microphone
0 4 TRANS44843 tumblr_ngy6auCp7T1ravth9o1_400 What does the man do before walks away ?walk up	What does the man do before walks away ?have a neutral face	What does the man do before walks away ?kiss it	What does the man do before walks away ?ride a bike	What does the man do before walks away ?puts fist up to camera
4 2 TRANS10888 tumblr_nczg2aOKa01tugd7xo1_400 What does the soldier on right do after kick ?stare	What does the soldier on right do after kick ?remove sunglasses	What does the soldier on right do after kick ?trip over tire	What does the soldier on right do after kick ?suck finger	What does the soldier on right do after kick ?hips down
3 4 TRANS2432 tumblr_n9pui2iakO1sjtfpao1_250 What does the person do after tap a toy hula dancer ?interrupt man at computer	What does the person do after tap a toy hula dancer ?blink	What does the person do after tap a toy hula dancer ?uncover face	What does the person do after tap a toy hula dancer ?display watch toward the screen	What does the person do after tap a toy hula dancer ?give thumb up
1 0 TRANS29470 tumblr_no1p33MsIj1utp1xwo1_500 What does the man do after raise hand ?high five with a woman	What does the man do after raise hand ?hug man	What does the man do after raise hand ?bite a cigarette	What does the man do after raise hand ?kiss a man	What does the man do after raise hand ?sing closely together
2 4 TRANS34283 tumblr_nhkxn39ENN1s3h8r8o1_400 What does the woman do before smile very big ?slide on horizontal telephone pole	What does the woman do before smile very big ?hug girl	What does the woman do before smile very big ?open mouth	What does the woman do before smile very big ?walk towards wall	What does the woman do before smile very big ?concentrate on music
0 3 TRANS21210 tumblr_nbwckx34eJ1tko1ako1_400 What does the man do after walk forward ?wave with both hand	What does the man do after walk forward ?cover mouth by hand	What does the man do after walk forward ?light a joint	What does the man do after walk forward ?sit	What does the man do after walk forward ?brush hair
1 3 TRANS19604 tumblr_nr5189zMVE1tewmvuo1_400 What does the woman do after look forward ?nod	What does the woman do after look forward ?shake head	What does the woman do after look forward ?toss hair	What does the woman do after look forward ?open mouth	What does the woman do after look forward ?fade from red
3 2 TRANS35470 tumblr_ncw0wcn5Ew1tijnqno1_500 What does the man do after hang on a pole ?talk	What does the man do after hang on a pole ?play instrument and walk	What does the man do after hang on a pole ?lift legs	What does the man do after hang on a pole ?shoot a stick at someone	What does the man do after hang on a pole ?okay
2 4 TRANS33834 tumblr_naxpzlmRZc1tvp5nto1_400 What does the man do after pretend to swim with sea creature ?sitting	What does the man do after pretend to swim with sea creature ?kiss with another person	What does the man do after pretend to swim with sea creature ?shoot basketball	What does the man do after pretend to swim with sea creature ?hug other girl	What does the man do after pretend to swim with sea creature ?change direction
2 3 TRANS48683 tumblr_nq0ietOo6o1qa3o0zo2_500 What does the man do before tap hand ?blow smoke	What does the man do before tap hand ?roll eye	What does the man do before tap hand ?touch forehead	What does the man do before tap hand ?walk towards player	What does the man do before tap hand ?flip over counter
2 0 TRANS45153 tumblr_no6bzf5Th51t33lqpo1_500 What does the woman do before walk behind the door ?wave	What does the woman do before walk behind the door ?pick up and eat poop	What does the woman do before walk behind the door ?walk on a desk	What does the woman do before walk behind the door ?sit in chair	What does the woman do before walk behind the door ?laugh
2 4 TRANS54243 tumblr_nbt3166F731tjpng4o1_500 What does the girl on the right do before smack another guy ?stick tongue out	What does the girl on the right do before smack another guy ?smile	What does the girl on the right do before smack another guy ?touch other hand	What does the girl on the right do before smack another guy ?pick up a bottle	What does the girl on the right do before smack another guy ?raise hand
0 2 TRANS17742 tumblr_nb74rb1LU51sr1dz7o1_400 What does the woman do after look at the camera ?blink	What does the woman do after look at the camera ?concentrate on something	What does the woman do after look at the camera ?open mouth	What does the woman do after look at the camera ?shake body	What does the woman do after look at the camera ?grind on rail
0 4 TRANS9077 tumblr_nkpquj0Nyh1u9h6d6o1_250 What does the boy on stage do before surprise by object throw ?empower	What does the boy on stage do before surprise by object throw ?wink	What does the boy on stage do before surprise by object throw ?run	What does the boy on stage do before surprise by object throw ?remove cover from an object	What does the boy on stage do before surprise by object throw ?stare into distance
1 4 TRANS40709 tumblr_n9jww1Tbcq1t7f0qno1_500 What does the man do before touch a woman's fist ?flip in air	What does the man do before touch a woman's fist ?kiss	What does the man do before touch a woman's fist ?straight face	What does the man do before touch a woman's fist ?smile	What does the man do before touch a woman's fist ?raise arm
4 2 TRANS38520 tumblr_nd1gxcY0Ky1syp7wuo1_400 What does the man do after look behind him ?bite a potato chip	What does the man do after look behind him ?lift weight	What does the man do after look behind him ?turn head to spray paint onto the wall	What does the man do after look behind him ?lean forward	What does the man do after look behind him ?kiss the woman
0 3 TRANS8223 tumblr_na432eBrrP1tww4pgo1_400 What does the whale do before go under water ?on the beach	What does the whale do before go under water ?tumble	What does the whale do before go under water ?wave	What does the whale do before go under water ?breathe through blow hole	What does the whale do before go under water ?twirl
3 0 TRANS14792 tumblr_nd1lzaN9G21tp02izo1_400 What does the bear do after playing a horn ?walking	What does the bear do after playing a horn ?adjust hat	What does the bear do after playing a horn ?add double-handed point with lean	What does the bear do after playing a horn ?freeze in mid-air	What does the bear do after playing a horn ?remove blindfold
0 4 TRANS53792 tumblr_nfojm1yS181u4xddzo1_500 What does the woman do after stuff mouth with cake ?stick tongue out	What does the woman do after stuff mouth with cake ?smile and turn	What does the woman do after stuff mouth with cake ?touch head to the other man	What does the woman do after stuff mouth with cake ?pick up other guy	What does the woman do after stuff mouth with cake ?raise eyebraws
0 3 TRANS28266 tumblr_nhda950VbF1tiqgpxo1_250 What does the couple do after face each other ?hug	What does the couple do after face each other ?lick lip	What does the couple do after face each other ?bite lip	What does the couple do after face each other ?start kissing.	What does the couple do after face each other ?bend
1 0 TRANS21426 tumblr_nkv5iz7KVL1unu56do1_400 What does the man do after sit ?eat rib	What does the man do after sit ?wave one arm	What does the man do after sit ?cover mouth with hand	What does the man do after sit ?bow head	What does the man do after sit ?nod head
1 4 TRANS4281 tumblr_nc0dhlZLLw1ts3zgzo1_250 What does the woman do before smile ?explode	What does the woman do before smile ?wave hand	What does the woman do before smile ?reload hockey stick	What does the woman do before smile ?twirl around	What does the woman do before smile ?walks up
0 4 TRANS22225 tumblr_n9w68eOVgx1tif07xo1_400 What does the woman do before wave hand ?sing	What does the woman do before wave hand ?on head	What does the woman do before wave hand ?suck on a cigarette	What does the woman do before wave hand ?lean in	What does the woman do before wave hand ?wave stuff animal's paw
2 3 TRANS16778 tumblr_nda4kvB8V61tyxziho1_400 What does the woman do after hug man ?wave hand	What does the woman do after hug man ?dance right	What does the woman do after hug man ?slap him in face	What does the woman do after hug man ?close door	What does the woman do after hug man ?hop across stage
0 4 TRANS25988 tumblr_ndw0bzvkNg1tdhj6ro1_400 What does the mascot do after shake head ?suck thumb	What does the mascot do after shake head ?stay still	What does the mascot do after shake head ?lean on wall	What does the mascot do after shake head ?stare something	What does the mascot do after shake head ?wave arm
2 3 TRANS12908 tumblr_n93djhScCS1t3ualjo1_500 What does the man do after look up ?near	What does the man do after look up ?stare at phone	What does the man do after look up ?receive light slap on face	What does the man do after look up ?spin in circle	What does the man do after look up ?spray bubble to left
1 3 TRANS9734 tumblr_nq3v8xGPoV1ut5xuho1_250 What does the woman do after point at camera ?sway head from side to side	What does the woman do after point at camera ?wink	What does the woman do after point at camera ?chew food	What does the woman do after point at camera ?life an eyebrow	What does the woman do after point at camera ?bow head
0 4 TRANS58098 tumblr_np0bdooxmU1uwhbn9o1_540 What does the drummer do after concentrate ?jump	What does the drummer do after concentrate ?run flip over metal bar	What does the drummer do after concentrate ?throw food at other man	What does the drummer do after concentrate ?push back hair	What does the drummer do after concentrate ?smile
3 0 TRANS15344 tumblr_nf8mgr448W1r4qyf7o1_500 What does the woman do after raise arm ?cover face	What does the woman do after raise arm ?lean to the right	What does the woman do after raise arm ?pause to look at the camera	What does the woman do after raise arm ?yell	What does the woman do after raise arm ?anxious
4 0 TRANS51331 tumblr_nqt86b7tD31rltsrco1_400 What does the cat do before look to camera ?climb on man's head	What does the cat do before look to camera ?touch hair	What does the cat do before look to camera ?smile	What does the cat do before look to camera ?talk about something	What does the cat do before look to camera ?mind own business
3 0 TRANS27287 tumblr_nam4gn3UPS1qcs7p3o1_400 What does the man do before turn head ?step forward	What does the man do before turn head ?drink coffee	What does the man do before turn head ?bite lip	What does the man do before turn head ?sing	What does the man do before turn head ?wear a shoe
0 4 TRANS22624 tumblr_njmuuaAUWZ1tqmfzto1_400 What does the girl do after look at a man ?smile	What does the girl do after look at a man ?nod head	What does the girl do after look at a man ?lick paw	What does the girl do after look at a man ?kiss	What does the girl do after look at a man ?use a notebook to fan
2 0 TRANS25385 tumblr_nr9lyoOfEj1rjxehgo1_540 What does the musician do before playing guitar ?point fingers in the air	What does the musician do before playing guitar ?kiss a girl	What does the musician do before playing guitar ?sing	What does the musician do before playing guitar ?shake head	What does the musician do before playing guitar ?fly
4 0 TRANS9160 tumblr_nf1k9o3fUJ1sd99qgo1_400 What does the man do after raise arm ?slide to girl	What does the man do after raise arm ?land on the ground	What does the man do after raise arm ?kill zombie	What does the man do after raise arm ?shrug shoulder	What does the man do after raise arm ?raise hand to mouth
3 4 TRANS11309 tumblr_nect19Qa771te83nuo1_250 What does the boy do before dance ?stare through hole	What does the boy do before dance ?hug a man	What does the boy do before dance ?attack post	What does the boy do before dance ?walk	What does the boy do before dance ?adjust headset
4 0 TRANS43370 tumblr_na2k21xDU51shtuz8o1_250 What does the boy in a hat do after stare at friend ?stick up finger	What does the boy in a hat do after stare at friend ?raise hand	What does the boy in a hat do after stare at friend ?open mouth	What does the boy in a hat do after stare at friend ?wake up bear	What does the boy in a hat do after stare at friend ?smile
0 4 TRANS27914 tumblr_ndona4tISw1r35lfbo1_250 What does the woman do after stand ?spread hand	What does the woman do after stand ?light a cigarette	What does the woman do after stand ?punch in a pool	What does the woman do after stand ?fix hair	What does the woman do after stand ?sit in the windowsill
3 2 TRANS45518 tumblr_nq79d1R2uE1rered3o1_400 What does the man do after look ?lie next to a ball	What does the man do after look ?smile	What does the man do after look ?hit ball	What does the man do after look ?talk	What does the man do after look ?open eyes wide
2 3 TRANS17919 tumblr_n8x0vtknbl1rhmx5uo1_400 What does the left man do before sit up straight ?count one	What does the left man do before sit up straight ?adjust collar	What does the left man do before sit up straight ?raise arm	What does the left man do before sit up straight ?rock body	What does the left man do before sit up straight ?extend arm
3 4 TRANS10388 tumblr_naqr8iApeZ1tknp3uo1_250 What does the man do after spread arm ?squint	What does the man do after spread arm ?clap	What does the man do after spread arm ?sniff cigarette	What does the man do after spread arm ?sway hips	What does the man do after spread arm ?cover face
4 0 TRANS34408 tumblr_ngdo7haqgC1u5snxbo1_500 What does the woman do after talk to the man ?walk away	What does the woman do after talk to the man ?lean forehead on hand	What does the woman do after talk to the man ?roll on ground	What does the woman do after talk to the man ?spin around	What does the woman do after talk to the man ?touch man
4 2 TRANS33419 tumblr_nho6f9JthI1tklnd7o1_500 What does the man do before throw up ?fly through the air	What does the man do before throw up ?run	What does the man do before throw up ?smile	What does the man do before throw up ?hit a fence	What does the man do before throw up ?play with knife
4 0 TRANS50963 tumblr_nkopqiVNB01un86uao1_250 What does the person in black do before flip man in short on ground ?grab man in short	What does the person in black do before flip man in short on ground ?talk	What does the person in black do before flip man in short on ground ?smile	What does the person in black do before flip man in short on ground ?raise hand	What does the person in black do before flip man in short on ground ?fall
3 4 TRANS57217 tumblr_nk16qbIdbf1rljphwo1_500 What does the man do before remove hand from face ?jump onto cushion	What does the man do before remove hand from face ?run	What does the man do before remove hand from face ?throw	What does the man do before remove hand from face ?push hand away	What does the man do before remove hand from face ?smile
1 4 TRANS31993 tumblr_nb0ddycVlC1rvh5yko1_500 What does the man do before close eye ?hug	What does the man do before close eye ?smile	What does the man do before close eye ?sing	What does the man do before close eye ?dance	What does the man do before close eye ?drop a liquid
3 2 TRANS7751 tumblr_nf3uzbrHlA1rmgp3fo1_500 What does the man do before point a gun at the camera ?nod	What does the man do before point a gun at the camera ?drive	What does the man do before point a gun at the camera ?smoke something	What does the man do before point a gun at the camera ?play with hair	What does the man do before point a gun at the camera ?pucker lips
1 2 TRANS54407 tumblr_nr8fuwKi3C1svfwd4o1_500 What does the woman do before flip head back up ?point	What does the woman do before flip head back up ?face to the left	What does the woman do before flip head back up ?hang head	What does the woman do before flip head back up ?touch man's face	What does the woman do before flip head back up ?smile
1 3 TRANS19528 tumblr_nc7mq3cXqj1s71nvbo1_400 What does the woman do after remove whistle ?dance	What does the woman do after remove whistle ?smile	What does the woman do after remove whistle ?sing	What does the woman do after remove whistle ?drop it	What does the woman do after remove whistle ?nod head
0 2 TRANS10353 tumblr_nqfp68NX3i1uqzd68o1_250 What does the man do before wave arm around ?laugh with chin in chest	What does the man do before wave arm around ?frown	What does the man do before wave arm around ?reach out at the camera	What does the man do before wave arm around ?blink eyes	What does the man do before wave arm around ?sway body
3 0 TRANS30875 tumblr_neko3rdy1l1s1pgzio1_500 What does the man on left do before spit out substance ?pump fist	What does the man on left do before spit out substance ?smile	What does the man on left do before spit out substance ?speak seriously	What does the man on left do before spit out substance ?talk with serious face	What does the man on left do before spit out substance ?surprise baby
1 3 TRANS32367 tumblr_n90x2fuBVp1skm6iho1_250 What does the boy in the center do before look left ?stay still	What does the boy in the center do before look left ?hide behind man	What does the boy in the center do before look left ?eat something	What does the boy in the center do before look left ?wave head	What does the boy in the center do before look left ?play the piano
2 0 TRANS54346 tumblr_nqdyvfvVsB1u3j7l3o1_500 What does the man do after lie on grass ?raise hand up	What does the man do after lie on grass ?smile	What does the man do after lie on grass ?touch the weight	What does the man do after lie on grass ?pick up shovel	What does the man do after lie on grass ?stick out tongue
4 2 TRANS32305 tumblr_ndfkplzWvY1r8ici8o1_250 What does the woman do before run away ?breathe heavy and frown	What does the woman do before run away ?lean down	What does the woman do before run away ?hit a zombie	What does the woman do before run away ?speak into mic	What does the woman do before run away ?hide in can
0 3 TRANS13267 tumblr_nd91f9LHKy1tmei2go1_400 What does the man who hold a knife do before lick lips ?peace sign	What does the man who hold a knife do before lick lips ?celebrate	What does the man who hold a knife do before lick lips ?playing guitar	What does the man who hold a knife do before lick lips ?brush hair	What does the man who hold a knife do before lick lips ?kicks ball
4 2 TRANS28832 tumblr_npw5hmxHZ21tbfrz9o1_540 What does the woman in red scarf do after nod head ?watch	What does the woman in red scarf do after nod head ?play a drum	What does the woman in red scarf do after nod head ?lean forward	What does the woman in red scarf do after nod head ?sing	What does the woman in red scarf do after nod head ?show sign of peace
2 3 TRANS22850 tumblr_najpjmYwHh1tjcbnvo1_400 What does the woman do after sit ?fold arms	What does the woman do after sit ?sink under water	What does the woman do after sit ?clear throat	What does the woman do after sit ?dance in place	What does the woman do after sit ?fix hair
2 1 TRANS4398 tumblr_npcdxpuzqV1u67dyro1_250 What does the man do after look down ?twirl down	What does the man do after look down ?wave hand	What does the man do after look down ?rub hair	What does the man do after look down ?pat a dog	What does the man do after look down ?gasp in surprise
4 0 TRANS4825 tumblr_nd2y0o0hsA1tm7c4co1_250 What does the man do before gesture with hand ?fix coat collar	What does the man do before gesture with hand ?stare ahead	What does the man do before gesture with hand ?plead with someone	What does the man do before gesture with hand ?emerge from behind the column	What does the man do before gesture with hand ?gesture with hands
1 3 TRANS45238 tumblr_nrae7mMdrN1ua4mf8o1_400 What does the cat do after face clean ?close eye	What does the cat do after face clean ?move object away from face	What does the cat do after face clean ?step forward	What does the cat do after face clean ?cheese on face	What does the cat do after face clean ?push man down
2 0 TRANS41843 tumblr_nqvhzxnaMr1rs13u4o1_400 What does the batter do before celebrate with team ?swing at pitch	What does the batter do before celebrate with team ?talk	What does the batter do before celebrate with team ?leave	What does the batter do before celebrate with team ?have tail out of vase	What does the batter do before celebrate with team ?lie down
1 3 TRANS52085 tumblr_n9wkpeXC991re6qqko1_500 What does the man do before talk to a woman ?pick up a child	What does the man do before talk to a woman ?smile at the camera while dance	What does the man do before talk to a woman ?touch guy's chin	What does the man do before talk to a woman ?raise head	What does the man do before talk to a woman ?stick to walls
1 4 TRANS33426 tumblr_nklw53j39a1r73l22o1_400 What does the man do after point with one hand ?kiss a man	What does the man do after point with one hand ?hug a woman on left	What does the man do after point with one hand ?bend down	What does the man do after point with one hand ?bite finger	What does the man do after point with one hand ?start jump
3 1 TRANS46094 tumblr_npkm6wiSO51sslx8ho1_500 What does the woman do after stare the screen ?roll eyeball around	What does the woman do after stare the screen ?walk	What does the woman do after stare the screen ?touch neck	What does the woman do after stare the screen ?blow hair	What does the woman do after stare the screen ?flip hair
3 0 TRANS6440 tumblr_nkhd92rnlh1txas8wo1_500 What does the man do after wake up suddenly ?remove a paper from face	What does the man do after wake up suddenly ?skate down ramp	What does the man do after wake up suddenly ?smirk	What does the man do after wake up suddenly ?scream at bear	What does the man do after wake up suddenly ?grin
4 2 TRANS15492 tumblr_naee5xFlr41tjf814o1_400 What does the woman do after hold up two fingers ?punch another girl	What does the woman do after hold up two fingers ?flip over	What does the woman do after hold up two fingers ?speak	What does the woman do after hold up two fingers ?spring up	What does the woman do after hold up two fingers ?slice in half
4 0 TRANS17564 tumblr_nk16jzasjy1s75dipo1_400 What does the man do after stare downward ?lift hood off	What does the man do after stare downward ?read something into microphone	What does the man do after stare downward ?blink	What does the man do after stare downward ?stare	What does the man do after stare downward ?react to be hit in the face
3 2 TRANS33393 tumblr_na403e8Ozd1qeda9uo1_400 What does the cat do before drop a cup ?talking	What does the cat do before drop a cup ?talk	What does the cat do before drop a cup ?bend down	What does the cat do before drop a cup ?play defense	What does the cat do before drop a cup ?happy
0 1 TRANS9301 tumblr_namrmitS3W1sjw7ogo1_250 What does the woman do before look off to the right ?smile	What does the woman do before look off to the right ?lower cup	What does the woman do before look off to the right ?shrug	What does the woman do before look off to the right ?shake head	What does the woman do before look off to the right ?wink
1 3 TRANS11261 tumblr_nkwl97wGJ71uo3r99o1_500 What does the lady do before turn left ?shoot gun	What does the lady do before turn left ?sing into a microphone	What does the lady do before turn left ?swing bat	What does the lady do before turn left ?wipe tear	What does the lady do before turn left ?play the keyboard
4 3 TRANS47461 tumblr_ned1d6efad1s0r79po1_r1_500 What does the man do before look up ?head butt	What does the man do before look up ?kick door	What does the man do before look up ?shake head	What does the man do before look up ?write something	What does the man do before look up ?face forward
3 1 TRANS30342 tumblr_nevmqvdK1X1u2zl3eo1_400 What does the man do after cross the river ?lift a black object	What does the man do after cross the river ?fight	What does the man do after cross the river ?slide under dog	What does the man do after cross the river ?slip on ground	What does the man do after cross the river ?fill with cub
1 2 TRANS756 tumblr_nbi0u01XqX1qje303o1_250 What does the woman do after upside down ?smirk	What does the woman do after upside down ?at the bottom of the stairs	What does the woman do after upside down ?kiss a guy	What does the woman do after upside down ?land on man	What does the woman do after upside down ?skate
1 2 TRANS39517 tumblr_nark4prC5V1sj6jsio1_400 What does the woman do before spread out arm ?kiss the man	What does the woman do before spread out arm ?walk away	What does the woman do before spread out arm ?adjust sunglasses	What does the woman do before spread out arm ?cry	What does the woman do before spread out arm ?surprise at bill
4 0 TRANS26136 tumblr_nf97i5e4jP1qd3i5fo1_400 What does the woman do after raise eyebrows ?roll eyes	What does the woman do after raise eyebrows ?watch a person on right explaining	What does the woman do after raise eyebrows ?grasp at a man	What does the woman do after raise eyebrows ?pose close with woman on right	What does the woman do after raise eyebrows ?show teeth
3 1 TRANS55066 tumblr_ndbv2jyZsD1tffyufo1_500 What does the girl do after look away ?shake head around	What does the girl do after look away ?look towards friend	What does the girl do after look away ?throw hair back	What does the girl do after look away ?blow a kiss	What does the girl do after look away ?push other guy
3 4 TRANS58335 tumblr_nfnu4rW2T61u4xw0zo1_500 What does the woman do before sit in room ?fall over	What does the woman do before sit in room ?stick out tongue	What does the woman do before sit in room ?smile	What does the woman do before sit in room ?hold a pen cap in mouth	What does the woman do before sit in room ?walk along wall
0 1 TRANS28445 tumblr_nkoj58sYJv1s5syl2o1_250 What does the woman do before walk to left ?throw	What does the woman do before walk to left ?part branch	What does the woman do before walk to left ?flip on air	What does the woman do before walk to left ?stare to left	What does the woman do before walk to left ?bounce on toe
3 4 TRANS2272 tumblr_n9qd1qoOI61svqyado1_250 What does the man in a winter coat do after jump down front step ?bark at water	What does the man in a winter coat do after jump down front step ?peek around person	What does the man in a winter coat do after jump down front step ?clap hands	What does the man in a winter coat do after jump down front step ?crawl out of a car	What does the man in a winter coat do after jump down front step ?look to the side
4 0 TRANS57915 tumblr_npfcbburKv1uqba17o1_500 What does the woman do before lead backwards ?dance	What does the woman do before lead backwards ?point left	What does the woman do before lead backwards ?close eye	What does the woman do before lead backwards ?pick up bucket	What does the woman do before lead backwards ?grab a person's arm
4 2 TRANS21712 tumblr_nckb7kU2K51tvnqzoo1_500 What does the man do after spread hands out ?eat ice cream	What does the man do after spread hands out ?sing in microphone	What does the man do after spread hands out ?wave hand	What does the man do after spread hands out ?wear hat	What does the man do after spread hands out ?tie tie
3 2 TRANS17274 tumblr_nrdxk2otyS1sprf2xo1_500 What does the man do after smile ?hole a pile of sand	What does the man do after smile ?high-fives another man	What does the man do after smile ?nod	What does the man do after smile ?cover eye	What does the man do after smile ?inside house
4 0 TRANS45237 tumblr_nrae7mMdrN1ua4mf8o1_400 What does the cat do before cheese on face ?face clean	What does the cat do before cheese on face ?run to base	What does the cat do before cheese on face ?throw arm out	What does the cat do before cheese on face ?jump	What does the cat do before cheese on face ?pick up dog
3 4 TRANS42216 tumblr_nk25aqnmAB1u33e4bo1_500 What does the young man do after look at woman ?blow up	What does the young man do after look at woman ?roll down the street	What does the young man do after look at woman ?spin lever	What does the young man do after look at woman ?touch to woman's head	What does the young man do after look at woman ?walk down stairs
1 3 TRANS30524 tumblr_nh4kp4iSKN1rsfix9o1_500 What does the man do after blow cigarette smoke ?bend down	What does the man do after blow cigarette smoke ?drink from cup	What does the man do after blow cigarette smoke ?lift arm into air	What does the man do after blow cigarette smoke ?look up	What does the man do after blow cigarette smoke ?dance in a circle
2 0 TRANS25646 tumblr_nhjoyzQcjX1shw3clo1_400 What does the man do after look at ornament ?adjust ornament	What does the man do after look at ornament ?rock upward	What does the man do after look at ornament ?man move eye back and forth	What does the man do after look at ornament ?walk	What does the man do after look at ornament ?kiss the woman
0 3 TRANS19714 tumblr_nqwmhysJ721ua5q7mo1_500 What does the man in hat do after lean on rail ?dance on counter	What does the man in hat do after lean on rail ?sing	What does the man in hat do after lean on rail ?lick lips	What does the man in hat do after lean on rail ?point	What does the man in hat do after lean on rail ?shake body
4 1 TRANS47791 tumblr_neddm7VXxe1u2b0jwo1_400 What does the kitten do before pause to look at the camera ?touch hair	What does the kitten do before pause to look at the camera ?crawl along the ground	What does the kitten do before pause to look at the camera ?point at girl behind	What does the kitten do before pause to look at the camera ?say something	What does the kitten do before pause to look at the camera ?give thumb up
3 0 TRANS21107 tumblr_ndt8izVm3e1u1pi4oo1_400 What does the man do before smile ?tongue rub against teeth	What does the man do before smile ?start jump	What does the man do before smile ?drive away	What does the man do before smile ?looking down	What does the man do before smile ?play with hair
2 4 TRANS55570 tumblr_ne236gfB5I1rrxy7do1_500 What does the woman do after stand ?shake head	What does the woman do after stand ?smile	What does the woman do after stand ?walk to another man	What does the woman do after stand ?touch the man leg	What does the woman do after stand ?put hand out
4 1 TRANS18274 tumblr_ndc4yd4wi41thz97ro1_400 What does the woman do after make a heart with hand ?run around corner	What does the woman do after make a heart with hand ?hug friend	What does the woman do after make a heart with hand ?in water	What does the woman do after make a heart with hand ?rise up	What does the woman do after make a heart with hand ?cover face
3 0 TRANS52950 tumblr_ncj3exce911r189aqo1_400 What does the woman do after touch door ?open door	What does the woman do after touch door ?shake head	What does the woman do after touch door ?smile	What does the woman do after touch door ?throw ball	What does the woman do after touch door ?stick tongue out
4 0 TRANS23939 tumblr_na5nxkhvGS1ti5broo1_500 What does the man do before lick finger ?pray	What does the man do before lick finger ?spin out	What does the man do before lick finger ?slightly move to the right	What does the man do before lick finger ?swing a stick	What does the man do before lick finger ?punch
