4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
2 4 TRANS11310 tumblr_nect19Qa771te83nuo1_250 What does the boy do after adjust headset ?fold jacket	What does the boy do after adjust headset ?remove object from refrigerator door violently	What does the boy do after adjust headset ?fixing  hair	What does the boy do after adjust headset ?exit the scene	What does the boy do after adjust headset ?dance
1 4 TRANS49398 tumblr_npjbm8zizK1txgyxzo1_500 What does the girl do after sit ?stop singing	What does the girl do after sit ?raise arm	What does the girl do after sit ?walk seductively into elevator	What does the girl do after sit ?run towards camera	What does the girl do after sit ?touch hat
2 4 TRANS10248 tumblr_n912w5GYV01teq0e2o1_400 What does the man do after laugh ?dance	What does the man do after laugh ?paw in the air	What does the man do after laugh ?wipe nose	What does the man do after laugh ?raise hand	What does the man do after laugh ?straight face
2 4 TRANS1230 tumblr_nk7t13pUAg1uoa5clo1_400 What does the woman do after smile ?paddle away from the camera	What does the woman do after smile ?gasp	What does the woman do after smile ?tilt head to right	What does the woman do after smile ?recline on a lawn chair	What does the woman do after smile ?wave
4 0 TRANS30990 tumblr_n9cftanMMb1rzot3uo2_250 What does the woman do after walk ?talk on phone	What does the woman do after walk ?lift	What does the woman do after walk ?stretch	What does the woman do after walk ?swing swords	What does the woman do after walk ?bend head down
4 2 TRANS7164 tumblr_neqqo3SUs41ruoz0ko1_250 What does the woman do after approach to a man ?in a squat	What does the woman do after approach to a man ?chew on the card	What does the woman do after approach to a man ?push man	What does the woman do after approach to a man ?stare at friend	What does the woman do after approach to a man ?smile
3 4 TRANS6248 tumblr_ndyh3iTJcd1tdjuqvo1_400 What does the kangaroo do after scratch belly ?close mouth	What does the kangaroo do after scratch belly ?lower down to floor	What does the kangaroo do after scratch belly ?scrunch face in pain	What does the kangaroo do after scratch belly ?paw at bed	What does the kangaroo do after scratch belly ?scratch armpit
3 2 TRANS36233 tumblr_nkr7dew1PD1qfozfoo1_500 What does the machine do before spray paint the metal plate ?stay off	What does the machine do before spray paint the metal plate ?raise left arm	What does the machine do before spray paint the metal plate ?punch a metal plate	What does the machine do before spray paint the metal plate ?ride a board	What does the machine do before spray paint the metal plate ?speak
0 1 TRANS45506 tumblr_nf1nlpijnR1u2lw0po1_400 What does the man do after walk ?jump in puddle	What does the man do after walk ?comfort patient	What does the man do after walk ?kick ball into goal	What does the man do after walk ?start read book	What does the man do after walk ?run in place
3 4 TRANS22753 tumblr_naouexEr5g1tvo8v1o1_500 What does the man do before smile ?bottom lip stick out on left side	What does the man do before smile ?point at juice	What does the man do before smile ?lower hand	What does the man do before smile ?shift gaze	What does the man do before smile ?sing into microphone
4 3 TRANS58662 tumblr_nc8m05WdLB1tljy7co1_500 What does the on the left do after choose to card ?lay on a sofa	What does the on the left do after choose to card ?stick legs out of water	What does the on the left do after choose to card ?smile	What does the on the left do after choose to card ?return card	What does the on the left do after choose to card ?hand on their side
4 3 TRANS25667 tumblr_nisvuzpqme1twfip5o1_400 What does the man do before take drag ?raise hand	What does the man do before take drag ?talk	What does the man do before take drag ?slap wall	What does the man do before take drag ?light joint	What does the man do before take drag ?lick finger
0 1 TRANS41456 tumblr_nf6tstVALX1rtwshpo1_500 What does the man do after look at paper ?kiss a girl	What does the man do after look at paper ?start to put it down	What does the man do after look at paper ?smile	What does the man do after look at paper ?lift head up	What does the man do after look at paper ?lie down next to the dog
4 1 TRANS12017 tumblr_n8ywiw6h2O1thwjzto1_250 What does the woman do before turn body ?blank face	What does the woman do before turn body ?kick	What does the woman do before turn body ?in the box	What does the woman do before turn body ?visible	What does the woman do before turn body ?express an animal that climb to a tree
2 0 TRANS28477 tumblr_napklqSAmm1ti85ceo1_250 What does the man do before blink ?raise eye	What does the man do before blink ?slide	What does the man do before blink ?stare	What does the man do before blink ?slip through door crack	What does the man do before blink ?looks
0 4 TRANS19614 tumblr_nqj7ahVNOh1uvie7bo1_400 What does the dog do after look up ?settle down	What does the dog do after look up ?spin legs	What does the dog do after look up ?shake head back and forth	What does the dog do after look up ?fade away	What does the dog do after look up ?open mouth
2 1 TRANS57359 tumblr_ni3bhgVXHU1u86ghoo1_500 What does the woman do before dance in alley ?close newspaper	What does the woman do before dance in alley ?flip over couch	What does the woman do before dance in alley ?run with football	What does the woman do before dance in alley ?feel ecstasy	What does the woman do before dance in alley ?come and shake hand with another man
3 1 TRANS50608 tumblr_ndi56898WC1s52tx6o1_500 What does the woman do after peace sign ?smile	What does the woman do after peace sign ?raise expand hand	What does the woman do after peace sign ?touch a man's neck	What does the woman do after peace sign ?head bow	What does the woman do after peace sign ?laugh
3 2 TRANS7653 tumblr_n9umi6YLsx1sp3tvqo1_400 What does the girl do before take a drink ?cover face with hand	What does the girl do before take a drink ?skate over step	What does the girl do before take a drink ?bounce	What does the girl do before take a drink ?swivel drum stick in air	What does the girl do before take a drink ?shrug
3 2 TRANS23706 tumblr_nkr6x3qfJK1tewds3o1_500 What does the man do after look right ?lower hand	What does the man do after look right ?stretch nose up with finger	What does the man do after look right ?sing	What does the man do after look right ?point	What does the man do after look right ?bottom of hill
2 1 TRANS13088 tumblr_nafngzqDRD1teqt83o1_250 What does the blonde woman on right do after snap finger ?apply makeup	What does the blonde woman on right do after snap finger ?laugh	What does the blonde woman on right do after snap finger ?wave hand	What does the blonde woman on right do after snap finger ?extended	What does the blonde woman on right do after snap finger ?block the shoot
0 2 TRANS57858 tumblr_nblj3fIHy61tp4xxmo1_500 What does the woman do after lower head ?stick out tongue	What does the woman do after lower head ?smile	What does the woman do after lower head ?close mouth	What does the woman do after lower head ?lay still	What does the woman do after lower head ?jump
4 2 TRANS28716 tumblr_n96qxcTj5H1sb4xm1o1_400 What does the man do after stand on bleachers ?watch dentures fly out mouth	What does the man do after stand on bleachers ?dance	What does the man do after stand on bleachers ?lay on floor	What does the man do after stand on bleachers ?show nipples	What does the man do after stand on bleachers ?miss soccer ball
2 0 TRANS51015 tumblr_mrs83nSzOQ1stv392o1_500 What does the lady do before look left ?scratch ear	What does the lady do before look left ?walk away	What does the lady do before look left ?close	What does the lady do before look left ?raise one eyebrow	What does the lady do before look left ?fall down
1 3 TRANS17184 tumblr_n8xwsxN6Co1twn7jgo1_400 What does the person do after touch face ?eat some candy	What does the person do after touch face ?stare a head	What does the person do after touch face ?chew food	What does the person do after touch face ?wave	What does the person do after touch face ?choose card
0 3 TRANS7251 tumblr_n97zsdRSs81taoa7go1_250 What does the man do before fall down ?float	What does the man do before fall down ?skate up a wall	What does the man do before fall down ?cry	What does the man do before fall down ?approach to a man on right	What does the man do before fall down ?sway hair
0 2 TRANS1112 tumblr_ncqakeYaVG1u0np6zo1_250 What does the man do after stand ?wave	What does the man do after stand ?smile	What does the man do after stand ?remove the door	What does the man do after stand ?kiss the man	What does the man do after stand ?playing a tuba
2 3 TRANS32412 tumblr_n9fxbgYr0K1rvpycko1_250 What does the man on the left do after toast another man ?inside box	What does the man on the left do after toast another man ?slide	What does the man on the left do after toast another man ?watch a person on right explaining	What does the man on the left do after toast another man ?raise left hand	What does the man on the left do after toast another man ?left of the room
4 0 TRANS28308 tumblr_ni2gaft02A1u3mx44o1_250 What does the man do after throw item up ?hit with head	What does the man do after throw item up ?lean back	What does the man do after throw item up ?speak	What does the man do after throw item up ?sleep	What does the man do after throw item up ?embrace a woman
2 0 TRANS54346 tumblr_nqdyvfvVsB1u3j7l3o1_500 What does the man do after lie on grass ?raise hand up	What does the man do after lie on grass ?smile	What does the man do after lie on grass ?touch the weight	What does the man do after lie on grass ?pick up shovel	What does the man do after lie on grass ?stick out tongue
1 2 TRANS56733 tumblr_npzxfuURik1r0vgovo1_500 What does the woman do before look at car ?run	What does the woman do before look at car ?walk on the street	What does the woman do before look at car ?touch window	What does the woman do before look at car ?stop and sway body to the left and right	What does the woman do before look at car ?blow out smoke
2 1 TRANS36773 tumblr_ncaw26Ufyo1s77tqjo1_500 What does the man do before push friend away ?fall backwards	What does the man do before push friend away ?gesture	What does the man do before push friend away ?eat food	What does the man do before push friend away ?ride a sky	What does the man do before push friend away ?run up to the man
1 0 TRANS10868 tumblr_n93yyhaxpU1sofpyco1_250 What does the man do after shake head ?blink	What does the man do after shake head ?raise eyebrows	What does the man do after shake head ?offer a ring	What does the man do after shake head ?twirl around	What does the man do after shake head ?straighten up
4 3 TRANS9619 tumblr_nc7efqGkwg1t7dot3o1_250 What does the woman do before jump ?sniff a flower	What does the woman do before jump ?wink	What does the woman do before jump ?dribble soccer ball	What does the woman do before jump ?raise hand	What does the woman do before jump ?stare foward
0 2 TRANS34336 tumblr_nq3l4pzkwU1sht3fmo1_400 What does the monkey do after cover face ?blow a candle	What does the monkey do after cover face ?reach up	What does the monkey do after cover face ?type	What does the monkey do after cover face ?smile	What does the monkey do after cover face ?wake up after he fall
0 3 TRANS33153 tumblr_nb9zafvwGL1rl5d36o1_500 What does the man do before lower hand ?sing	What does the man do before lower hand ?dig	What does the man do before lower hand ?eat	What does the man do before lower hand ?hand raise behind him	What does the man do before lower hand ?fail to kick a ball
0 2 TRANS8062 tumblr_nas7x99RJT1taq9qwo1_250 What does the man do after talk ?lick lips	What does the man do after talk ?exhale	What does the man do after talk ?raise eyebrows	What does the man do after talk ?thrust hips	What does the man do after talk ?rock hips
3 1 TRANS43138 tumblr_nb6glp1YfP1rxgbfdo1_500 What does the man do after look embarrass ?walk through door	What does the man do after look embarrass ?scratch the back of head	What does the man do after look embarrass ?lie down	What does the man do after look embarrass ?close eye	What does the man do after look embarrass ?raise arm over head
1 4 TRANS55770 tumblr_nhuoksIv0d1ra6i3zo1_500 What does the guy on left do after lean over ?catch a knife	What does the guy on left do after lean over ?smile	What does the guy on left do after lean over ?blow on flame	What does the guy on left do after lean over ?start to dance	What does the guy on left do after lean over ?stand up
4 2 TRANS24393 tumblr_ngbvduimWV1u5x3t7o1_400 What does the woman do before freeze ?reach out	What does the woman do before freeze ?pass ball to other guy	What does the woman do before freeze ?dance	What does the woman do before freeze ?lower arm	What does the woman do before freeze ?clear throat
4 3 TRANS28513 tumblr_nch7clLs5L1tmllzbo1_250 What does the man do before smile ?shake head	What does the man do before smile ?beat hand to the air	What does the man do before smile ?chase a truck	What does the man do before smile ?open door	What does the man do before smile ?sick
3 2 TRANS56338 tumblr_niuz6lAz7m1r7gs90o1_540 What does the man do after run ?give peace sign	What does the man do after run ?say hello	What does the man do after run ?slide	What does the man do after run ?do spin	What does the man do after run ?bring hand together
1 4 TRANS17060 tumblr_ngdqxovcVv1rfx6qqo1_400 What does the woman do after cover mouth ?lower hand	What does the woman do after cover mouth ?wave finger	What does the woman do after cover mouth ?extend finger towards monitor	What does the woman do after cover mouth ?on bed	What does the woman do after cover mouth ?laugh
4 3 TRANS34643 tumblr_n9535qdmnf1tyyv4yo1_400 What does the man do before jump ?lean forward	What does the man do before jump ?point at the camera	What does the man do before jump ?drop pot	What does the man do before jump ?sing	What does the man do before jump ?run
0 2 TRANS6430 tumblr_nguilcoM241r74jdyo1_250 What does the blonde man do after face wall ?salute	What does the blonde man do after face wall ?blank face	What does the blonde man do after face wall ?spin in place	What does the blonde man do after face wall ?fire canons	What does the blonde man do after face wall ?lunge right leg
0 3 TRANS38757 tumblr_ni41d3vvJG1reikz1o1_400 What does the man do before walk through door ?kick some items	What does the man do before walk through door ?flip across the couch	What does the man do before walk through door ?ride a snowboard	What does the man do before walk through door ?spread arm out	What does the man do before walk through door ?lift head up
0 2 TRANS1539 tumblr_ndxxjq1Fib1smv1p3o1_500 What does the man do before dance right ?remove shirt from left shoulder	What does the man do before dance right ?ruffle hair	What does the man do before dance right ?dance left	What does the man do before dance right ?puff lips	What does the man do before dance right ?collapse
2 4 TRANS30876 tumblr_neko3rdy1l1s1pgzio1_500 What does the man on left do after pump fist ?change to neutral	What does the man on left do after pump fist ?lift front tire	What does the man on left do after pump fist ?raise eyebrow	What does the man on left do after pump fist ?step back	What does the man on left do after pump fist ?spit out substance
3 2 TRANS55888 tumblr_noaswjesmm1th7g9io1_400 What does the cat on right do after lick another cat ?stick out tongue	What does the cat on right do after lick another cat ?blow smoke	What does the cat on right do after lick another cat ?receive push by cat on left	What does the cat on right do after lick another cat ?knock monitor off desk	What does the cat on right do after lick another cat ?jump in air
1 4 TRANS50783 tumblr_nebsdeAxMv1tlysvco1_250 What does the man do before put on a hat ?fall on the ground	What does the man do before put on a hat ?grab other man's hand	What does the man do before put on a hat ?blow a kiss	What does the man do before put on a hat ?hand down	What does the man do before put on a hat ?talk
1 2 TRANS18181 tumblr_ncsujftSr51qhutsto1_400 What does the man in foodie do before look up ?cover face with hand	What does the man in foodie do before look up ?nod head	What does the man in foodie do before look up ?hang head	What does the man in foodie do before look up ?land on skateboard	What does the man in foodie do before look up ?wave
2 0 TRANS45315 tumblr_narpfhWzYa1rg2esto1_400 What does the man on left do before move right ?touch chin	What does the man on left do before move right ?raise arm	What does the man on left do before move right ?walk left	What does the man on left do before move right ?run	What does the man on left do before move right ?stop spinning
