4 1 TRANS10165 tumblr_na0tm0ReHw1tj7hseo1_250 What does the woman do before talk ?lick lips	What does the woman do before talk ?wave	What does the woman do before talk ?sway on road	What does the woman do before talk ?sniff fire	What does the woman do before talk ?lean forward
2 0 TRANS17564 tumblr_nk16jzasjy1s75dipo1_400 What does the man do after stare downward ?lift hood off	What does the man do after stare downward ?read something into microphone	What does the man do after stare downward ?blink	What does the man do after stare downward ?stare	What does the man do after stare downward ?react to be hit in the face
1 2 TRANS10816 tumblr_nr4vryXuiR1u9o6qbo1_400 What does the woman on center do after have close black jacket ?pat a man's back	What does the woman on center do after have close black jacket ?raise eyebrows	What does the woman on center do after have close black jacket ?rip jacket open	What does the woman on center do after have close black jacket ?paw the bottle	What does the woman on center do after have close black jacket ?lower a bow
0 3 TRANS36626 tumblr_nhic56wdN51swdjefo1_400 What does the man do after throw arm out ?stop singing	What does the man do after throw arm out ?hit by a dog	What does the man do after throw arm out ?surprise	What does the man do after throw arm out ?lean forward	What does the man do after throw arm out ?wait
0 1 TRANS48643 tumblr_nq9j5lIaD11uz0qnyo1_500 What does the lady do before lean on wall ?talk	What does the lady do before lean on wall ?lift head	What does the lady do before lean on wall ?laugh	What does the lady do before lean on wall ?lie on a stair	What does the lady do before lean on wall ?say yes
3 2 TRANS33316 tumblr_ne07jdwpmE1qdbxego1_500 What does the woman do after slam the rack on the ground ?lean to left	What does the woman do after slam the rack on the ground ?serious face	What does the woman do after slam the rack on the ground ?walk away	What does the woman do after slam the rack on the ground ?roll onto the right side	What does the woman do after slam the rack on the ground ?spin in circle
2 1 TRANS45948 tumblr_nhymlqyEFX1s61ex7o1_250 What does the dog do after face man ?run on the beach	What does the dog do after face man ?face camera	What does the dog do after face man ?throw something	What does the dog do after face man ?jump	What does the dog do after face man ?pick up left hand
0 1 TRANS34809 tumblr_na8mwwLFDM1skvnslo1_400 What does the man do before pick up hat ?slide hand	What does the man do before pick up hat ?raise hand	What does the man do before pick up hat ?bite lip	What does the man do before pick up hat ?miss to pick up ball	What does the man do before pick up hat ?kiss other girl
0 2 TRANS10169 tumblr_nr8fzalWNw1raxlgvo1_400 What does the man do before whip head to the side ?raise head	What does the man do before whip head to the side ?fondle hair	What does the man do before whip head to the side ?stare	What does the man do before whip head to the side ?fasten belt	What does the man do before whip head to the side ?in a tunnel
3 0 TRANS6440 tumblr_nkhd92rnlh1txas8wo1_500 What does the man do after wake up suddenly ?remove a paper from face	What does the man do after wake up suddenly ?skate down ramp	What does the man do after wake up suddenly ?smirk	What does the man do after wake up suddenly ?scream at bear	What does the man do after wake up suddenly ?grin
3 2 TRANS8021 tumblr_nozeurbvJO1ssgyoro1_250 What does the woman do before wave hand ?thrust hips	What does the woman do before wave hand ?view change to second man	What does the woman do before wave hand ?swing towel over shoulder	What does the woman do before wave hand ?talk with another girl	What does the woman do before wave hand ?holler
3 4 TRANS33916 tumblr_n9qqt7ckM71t0k260o1_400 What does the man do after wipe face ?scream	What does the man do after wipe face ?shake head	What does the man do after wipe face ?kiss her	What does the man do after wipe face ?hug girl	What does the man do after wipe face ?point at crowd
0 4 TRANS57969 tumblr_nfgkpzxpv01qclz9ho1_1280 What does the woman do before yell ?sit up on the bed	What does the woman do before yell ?smile	What does the woman do before yell ?walk out door furiously	What does the woman do before yell ?start run	What does the woman do before yell ?cut fabric
2 3 TRANS6293 tumblr_nawsf7lV8G1s02j3lo1_400 What does the person do before pull back ?clap hand	What does the person do before pull back ?sing near microphone	What does the person do before pull back ?play guitar	What does the person do before pull back ?light fart	What does the person do before pull back ?tilt body
4 3 TRANS5129 tumblr_nbcyot0xr11t5voh8o1_250 What does the boy do before turn away ?lick lips	What does the boy do before turn away ?gasp	What does the boy do before turn away ?tilt head left	What does the boy do before turn away ?wave hand	What does the boy do before turn away ?sing
2 0 TRANS57601 tumblr_npdpo2nwNy1uqpl1go1_250 What does the boy do before smile ?stroke hair	What does the boy do before smile ?pick up a guitar	What does the boy do before smile ?look shocked	What does the boy do before smile ?stand on deck	What does the boy do before smile ?do thumb up
1 2 TRANS56630 tumblr_nklek6EsNF1t08g1no1_400 What does the boy do after dance ?run to a boy	What does the boy do after dance ?point a finger	What does the boy do after dance ?sing	What does the boy do after dance ?open mouth	What does the boy do after dance ?push other toy off table
2 1 TRANS38758 tumblr_ni41d3vvJG1reikz1o1_400 What does the man do after spread arm out ?roll in tire	What does the man do after spread arm out ?walk through door	What does the man do after spread arm out ?spin arm	What does the man do after spread arm out ?touch cheek	What does the man do after spread arm out ?bite lip
2 3 TRANS17919 tumblr_n8x0vtknbl1rhmx5uo1_400 What does the left man do before sit up straight ?count one	What does the left man do before sit up straight ?adjust collar	What does the left man do before sit up straight ?raise arm	What does the left man do before sit up straight ?rock body	What does the left man do before sit up straight ?extend arm
4 0 TRANS51493 tumblr_nh0htmQzPY1qhrx75o1_400 What does the hockey player who wear a white shirt do before hit a puck toward a net ?steal puck	What does the hockey player who wear a white shirt do before hit a puck toward a net ?open mouth	What does the hockey player who wear a white shirt do before hit a puck toward a net ?touch finger	What does the hockey player who wear a white shirt do before hit a puck toward a net ?smile	What does the hockey player who wear a white shirt do before hit a puck toward a net ?face away from the camera
1 0 TRANS25846 tumblr_n8tkdr4Eby1rdyrrfo1_400 What does the lady do after hit head ?shock	What does the lady do after hit head ?lean back	What does the lady do after hit head ?walk sand	What does the lady do after hit head ?fly	What does the lady do after hit head ?pass ball to another person
4 3 TRANS42043 tumblr_nc0eqq49V51rw1wnno1_400 What does the cat do before fall ?walk accross	What does the cat do before fall ?ride a skateboard	What does the cat do before fall ?raise left arm	What does the cat do before fall ?touch cable	What does the cat do before fall ?run
4 2 TRANS18933 tumblr_n9uy32nVrJ1twwb4zo1_400 What does the woman do before cry ?in the air	What does the woman do before cry ?run on machine	What does the woman do before cry ?hug knees	What does the woman do before cry ?rise out of the water slightly	What does the woman do before cry ?appear from behind a car
3 2 TRANS35470 tumblr_ncw0wcn5Ew1tijnqno1_500 What does the man do after hang on a pole ?talk	What does the man do after hang on a pole ?play instrument and walk	What does the man do after hang on a pole ?lift legs	What does the man do after hang on a pole ?shoot a stick at someone	What does the man do after hang on a pole ?okay
4 0 TRANS23654 tumblr_ncim8iEoJm1t1j3czo1_400 What does the man do after point finger at himself ?laugh	What does the man do after point finger at himself ?lower head	What does the man do after point finger at himself ?shift eye	What does the man do after point finger at himself ?on a mountain	What does the man do after point finger at himself ?cover eye with palm
3 2 TRANS21112 tumblr_n9lg2kfH5D1stp9t8o1_400 What does the man do after stand away ?enter bathroom	What does the man do after stand away ?act like shooting something from a guitar	What does the man do after stand away ?lean in and kiss woman	What does the man do after stand away ?hit him	What does the man do after stand away ?chase it around box
1 3 TRANS34280 tumblr_nppnpzGIMu1sgpl4mo1_400 What does the man do after sing ?stuff other guy's mouth with food	What does the man do after sing ?talk	What does the man do after sing ?play with balloon	What does the man do after sing ?bend down	What does the man do after sing ?happy
4 3 TRANS33149 tumblr_nbbwerXfuY1sjt7a5o1_500 What does the guitarist do before step away from camera ?bend leg up	What does the guitarist do before step away from camera ?lift body up	What does the guitarist do before step away from camera ?lean forward	What does the guitarist do before step away from camera ?play guitar	What does the guitarist do before step away from camera ?hug a person
4 0 TRANS9160 tumblr_nf1k9o3fUJ1sd99qgo1_400 What does the man do after raise arm ?slide to girl	What does the man do after raise arm ?land on the ground	What does the man do after raise arm ?kill zombie	What does the man do after raise arm ?shrug shoulder	What does the man do after raise arm ?raise hand to mouth
4 0 TRANS23857 tumblr_no95meGFVR1uuv7imo1_400 What does the man who is sitting on the back seat of the front car do before pull out machine gun ?look out window at tailgater	What does the man who is sitting on the back seat of the front car do before pull out machine gun ?wave left hand	What does the man who is sitting on the back seat of the front car do before pull out machine gun ?rub their head	What does the man who is sitting on the back seat of the front car do before pull out machine gun ?leap forward	What does the man who is sitting on the back seat of the front car do before pull out machine gun ?drive under a car
2 3 TRANS48852 tumblr_ndc27y5VMO1u18vm5o1_400 What does the man do after speak ?flip over	What does the man do after speak ?shake arms	What does the man do after speak ?smile	What does the man do after speak ?point woman	What does the man do after speak ?kick ball
0 4 TRANS27914 tumblr_ndona4tISw1r35lfbo1_250 What does the woman do after stand ?spread hand	What does the woman do after stand ?light a cigarette	What does the woman do after stand ?punch in a pool	What does the woman do after stand ?fix hair	What does the woman do after stand ?sit in the windowsill
4 0 TRANS28956 tumblr_n8s6um7qEO1sgwxtwo1_250 What does the boy in purple shirt do after look at camera ?thumb up	What does the boy in purple shirt do after look at camera ?raise hand up	What does the boy in purple shirt do after look at camera ?sing into microphone	What does the boy in purple shirt do after look at camera ?talk to two people	What does the boy in purple shirt do after look at camera ?speak to camera
2 4 TRANS52128 tumblr_np4dquZO101u4oerso1_500 What does the woman do after touch head ?stick out tongue	What does the woman do after touch head ?smile	What does the woman do after touch head ?touch man's neck	What does the woman do after touch head ?pick it up	What does the woman do after touch head ?raise arm
0 1 TRANS19765 tumblr_nh85vvLn5D1u6gniuo1_400 What does the girl do before put hand under chin ?wear a white shirt	What does the girl do before put hand under chin ?wave	What does the girl do before put hand under chin ?sing	What does the girl do before put hand under chin ?eat something in the fridge	What does the girl do before put hand under chin ?play guitar
1 4 TRANS15343 tumblr_nf8mgr448W1r4qyf7o1_500 What does the woman do before cover face ?smooth descent	What does the woman do before cover face ?stare	What does the woman do before cover face ?blink eyes	What does the woman do before cover face ?lick lips	What does the woman do before cover face ?raise arm
2 0 TRANS37505 tumblr_ndqtrnPBRk1tgvzrro1_500 What does the boy do before smile at the camera ?drink coffe	What does the boy do before smile at the camera ?step up	What does the boy do before smile at the camera ?move head	What does the boy do before smile at the camera ?spin out of control	What does the boy do before smile at the camera ?flip hair
3 2 TRANS51615 tumblr_nakmlyurfi1t0cxw9o1_400 What does the man on left do before get hit and fall down ?shake head	What does the man on left do before get hit and fall down ?hang himself on stick	What does the man on left do before get hit and fall down ?approach to a man on right	What does the man on left do before get hit and fall down ?grab guy's arm	What does the man on left do before get hit and fall down ?blow a kiss
1 3 TRANS57171 tumblr_no4mczo7UB1qirwpco1_500 What does the girl do before kiss boy ?walk away from another man on right	What does the girl do before kiss boy ?smile at cat	What does the girl do before kiss boy ?touch hair	What does the girl do before kiss boy ?move forward	What does the girl do before kiss boy ?throw table
0 3 TRANS41960 tumblr_naozs4fnJF1tk8054o1_500 What does the woman do after smile ?laugh	What does the woman do after smile ?shake a microphone	What does the woman do after smile ?spin around	What does the woman do after smile ?open mouth	What does the woman do after smile ?shoot herself with finger
0 2 TRANS8412 tumblr_nbw09yHJDi1ti7sj0o1_400 What does the woman in horse mask do after dance ?kiss girl on cheek	What does the woman in horse mask do after dance ?shake head	What does the woman in horse mask do after dance ?point	What does the woman in horse mask do after dance ?lick himself	What does the woman in horse mask do after dance ?tumble in the air
3 0 TRANS13545 tumblr_ngg49ohpJN1tczz3so1_250 What does the woman do before move an object to left side ?stare straight ahead	What does the woman do before move an object to left side ?raise butt in air	What does the woman do before move an object to left side ?run for a touchdown	What does the woman do before move an object to left side ?offer a ring	What does the woman do before move an object to left side ?pump them up
2 3 TRANS10540 tumblr_nrdutikHSx1rqqgwvo1_250 What does the man do after flip egg ?hop on bar	What does the man do after flip egg ?awake startle	What does the man do after flip egg ?dump bucket on head	What does the man do after flip egg ?draw heart	What does the man do after flip egg ?drive on road
2 3 TRANS39435 tumblr_nbax2i9PKO1tjga18o1_400 What does the man do before start slide ?kick ball	What does the man do before start slide ?spin in arm	What does the man do before start slide ?ride a skateboard on ledge	What does the man do before start slide ?lay still	What does the man do before start slide ?hit glass
1 4 TRANS9888 tumblr_na05z08opP1ry1g5io1_400 What does the men do after film themselves ?remove hat	What does the men do after film themselves ?cover face	What does the men do after film themselves ?wave	What does the men do after film themselves ?frown and smirk	What does the men do after film themselves ?walk
2 1 TRANS15873 tumblr_n9y305jEGm1tbaww1o1_400 What does the woman do before strike lighter ?fight	What does the woman do before strike lighter ?pour liquor on bar	What does the woman do before strike lighter ?talk about something	What does the woman do before strike lighter ?attack another person	What does the woman do before strike lighter ?dance down the street
4 0 TRANS37233 tumblr_nork2uhJ4J1u0ed8wo1_500 What does the man on the right in a purple uniform do before shove another man ?run to the left	What does the man on the right in a purple uniform do before shove another man ?smile	What does the man on the right in a purple uniform do before shove another man ?kiss collar	What does the man on the right in a purple uniform do before shove another man ?bite paper	What does the man on the right in a purple uniform do before shove another man ?shake a can
3 4 TRANS35535 tumblr_ncbrd1GZox1s71nvbo1_500 What does the bird do before lift wing ?looking serious	What does the bird do before lift wing ?close fist	What does the bird do before lift wing ?speak	What does the bird do before lift wing ?walk on ground	What does the bird do before lift wing ?roll down hill
4 2 TRANS50436 tumblr_nhxbfztqER1tzhdamo1_500 What does the man do after jump ?smile	What does the man do after jump ?shake hair	What does the man do after jump ?point finger	What does the man do after jump ?blow bubble	What does the man do after jump ?raise arm
1 3 TRANS10080 tumblr_nnc0a8RuMG1qc1zxwo1_400 What does the girl do after smile at the camera ?drift around corner	What does the girl do after smile at the camera ?raise microphone	What does the girl do after smile at the camera ?wink	What does the girl do after smile at the camera ?blink eyes	What does the girl do after smile at the camera ?attach speakers
2 0 TRANS34167 tumblr_nl0ze7lNnv1r9slz6o1_400 What does the person on right do before grab man ?run across the floor	What does the person on right do before grab man ?smile	What does the person on right do before grab man ?hug two fans	What does the person on right do before grab man ?bite	What does the person on right do before grab man ?kiss man
1 2 TRANS33390 tumblr_npse0rkOip1tq0lgpo1_500 What does the man do after place block ?serious face	What does the man do after place block ?hit wall	What does the man do after place block ?sit upright	What does the man do after place block ?change direction make eye contact with another subject	What does the man do after place block ?bounce
2 4 TRANS48993 tumblr_n93oox0VfY1s824qjo1_r1_400 What does the person do before wave them at the camera ?start eating watermelon	What does the person do before wave them at the camera ?run	What does the person do before wave them at the camera ?point left hand at temple	What does the person do before wave them at the camera ?raise head	What does the person do before wave them at the camera ?kiss finger
4 2 TRANS7221 tumblr_ne5uusuvNn1u2p22ho1_250 What does the man and a woman do before start to clap follow by the woman ?tilt head up	What does the man and a woman do before start to clap follow by the woman ?inhale cigarette	What does the man and a woman do before start to clap follow by the woman ?sit counter adjacent from each other	What does the man and a woman do before start to clap follow by the woman ?wave	What does the man and a woman do before start to clap follow by the woman ?drum the steer wheel
0 3 TRANS53548 tumblr_nl3cxnXrtW1syyvhqo1_500 What does the woman do after kiss guy on cheek ?open mouth small	What does the woman do after kiss guy on cheek ?run	What does the woman do after kiss guy on cheek ?start dance	What does the woman do after kiss guy on cheek ?hug guy	What does the woman do after kiss guy on cheek ?point gun
1 0 TRANS22993 tumblr_nf2cavLMyV1sbpxeho1_400 What does the man do before open eyes ?open door	What does the man do before open eyes ?blink eyes	What does the man do before open eyes ?spin on floor	What does the man do before open eyes ?scare	What does the man do before open eyes ?beat hand to the air
4 3 TRANS34962 tumblr_nak0l8OX8X1tatohao1_400 What does the man do after sit quietly ?lift leg	What does the man do after sit quietly ?step backwards	What does the man do after sit quietly ?place hand on the escalator	What does the man do after sit quietly ?scream ow	What does the man do after sit quietly ?draw a letter
3 0 TRANS30297 tumblr_nhafsdrHus1t0ijq6o1_400 What does the man on front do before put hand to face ?touch woman	What does the man on front do before put hand to face ?ride a skateboard	What does the man on front do before put hand to face ?fight with a guy	What does the man on front do before put hand to face ?pose	What does the man on front do before put hand to face ?eat ice cream
3 2 TRANS19713 tumblr_nqwmhysJ721ua5q7mo1_500 What does the man in hat do before point ?enter frame	What does the man in hat do before point ?hit hockey puck in goal	What does the man in hat do before point ?lean on rail	What does the man in hat do before point ?strike	What does the man in hat do before point ?sing
4 3 TRANS31342 tumblr_n92lo9JEvZ1tfz9ppo1_400 What does the hallway do after empty ?bend body toward a person	What does the hallway do after empty ?sing	What does the hallway do after empty ?hurt in flip	What does the hallway do after empty ?full of puppies run	What does the hallway do after empty ?disappear
4 0 TRANS53370 tumblr_nkag9eNN351unbz69o1_500 What does the girl on the right do after touch a girl's hand ?smile	What does the girl on the right do after touch a girl's hand ?run across the room	What does the girl on the right do after touch a girl's hand ?throw milk on floor	What does the girl on the right do after touch a girl's hand ?push a cat away	What does the girl on the right do after touch a girl's hand ?jump into the air
0 2 TRANS26884 tumblr_neweiyDXLb1qcuzdqo1_1280 What does the woman standing next to a car do after toward the camera ?stare	What does the woman standing next to a car do after toward the camera ?eat	What does the woman standing next to a car do after toward the camera ?wave hands	What does the woman standing next to a car do after toward the camera ?lean over to other side	What does the woman standing next to a car do after toward the camera ?lick lips
3 4 TRANS28627 tumblr_nkwg77Ux711r5ygbco1_250 What does the dog do before eat snow ?flip hair back	What does the dog do before eat snow ?bounce on ball	What does the dog do before eat snow ?smoke	What does the dog do before eat snow ?scream	What does the dog do before eat snow ?follow hand
3 0 TRANS49033 tumblr_nozo2ff5g41uuaoa4o1_400 What does the man do before spin around ?wave arm	What does the man do before spin around ?pick up woman	What does the man do before spin around ?walk on a conveyor	What does the man do before spin around ?sit upright	What does the man do before spin around ?laugh
3 1 TRANS21484 tumblr_nc2meimXrD1slwrsuo1_250 What does the raccoon do after climb on log ?falls	What does the raccoon do after climb on log ?have snow on face	What does the raccoon do after climb on log ?kiss man	What does the raccoon do after climb on log ?slide off of step	What does the raccoon do after climb on log ?blink eyes
3 1 TRANS23991 tumblr_n8rofawlJC1tf5z60o1_250 What does the woman do before close certain ?wave	What does the woman do before close certain ?stick out tongue	What does the woman do before close certain ?show a singer	What does the woman do before close certain ?nod head	What does the woman do before close certain ?pose on staircase
2 0 TRANS56108 tumblr_nk26ryNWET1u2w4s8o1_500 What does the man with a white clothe do after roll ?lay	What does the man with a white clothe do after roll ?run to a boy	What does the man with a white clothe do after roll ?jump	What does the man with a white clothe do after roll ?smile	What does the man with a white clothe do after roll ?stop
3 2 TRANS18934 tumblr_n9uy32nVrJ1twwb4zo1_400 What does the woman do after hug knees ?on the right	What does the woman do after hug knees ?slide across the ice	What does the woman do after hug knees ?cry	What does the woman do after hug knees ?tap face with finger	What does the woman do after hug knees ?tip on side
4 1 TRANS18274 tumblr_ndc4yd4wi41thz97ro1_400 What does the woman do after make a heart with hand ?run around corner	What does the woman do after make a heart with hand ?hug friend	What does the woman do after make a heart with hand ?in water	What does the woman do after make a heart with hand ?rise up	What does the woman do after make a heart with hand ?cover face
1 3 TRANS45367 tumblr_njm9ophE741t7an45o1_500 What does the woman do before kiss man ?face away from male partner	What does the woman do before kiss man ?step in snow	What does the woman do before kiss man ?raise two finger	What does the woman do before kiss man ?hang upside down	What does the woman do before kiss man ?turns head
4 0 TRANS41540 tumblr_nr9xonZ5iR1uvfg79o1_400 What does the man do after hit golf ball ?put hand up	What does the man do after hit golf ball ?kiss the cat	What does the man do after hit golf ball ?smile	What does the man do after hit golf ball ?spin a girl	What does the man do after hit golf ball ?ride down stairs
2 1 TRANS51501 tumblr_nfv5xzlgj31u25yojo1_400 What does the man do before talk ?open mouth	What does the man do before talk ?shake head	What does the man do before talk ?close eye	What does the man do before talk ?run at car	What does the man do before talk ?point
4 2 TRANS35656 tumblr_noqt1xz8xT1tfrbpqo1_400 What does the reporter do after talk to a microphone ?play the drum	What does the reporter do after talk to a microphone ?open mouth	What does the reporter do after talk to a microphone ?shake head	What does the reporter do after talk to a microphone ?close eye	What does the reporter do after talk to a microphone ?reach towards a man
4 0 TRANS43370 tumblr_na2k21xDU51shtuz8o1_250 What does the boy in a hat do after stare at friend ?stick up finger	What does the boy in a hat do after stare at friend ?raise hand	What does the boy in a hat do after stare at friend ?open mouth	What does the boy in a hat do after stare at friend ?wake up bear	What does the boy in a hat do after stare at friend ?smile
3 4 TRANS21140 tumblr_nhzsnt9b4s1u3kqrfo1_400 What does the man do after write on dry erase board ?crawl into luggage	What does the man do after write on dry erase board ?wave hello	What does the man do after write on dry erase board ?nod head	What does the man do after write on dry erase board ?pop bubble	What does the man do after write on dry erase board ?hold up dry erase board
4 2 TRANS26596 tumblr_n9vh2js6zv1t1j5ogo1_250 What does the man do after lower body ?drink a wine	What does the man do after lower body ?rub face	What does the man do after lower body ?look up	What does the man do after lower body ?blink	What does the man do after lower body ?climb up the staircase from the back
2 1 TRANS46139 tumblr_nk2qwwqNBf1svos5ho1_400 What does the person on center do before point someone ?raise arm	What does the person on center do before point someone ?touch face	What does the person on center do before point someone ?walk away	What does the person on center do before point someone ?run	What does the person on center do before point someone ?stop
2 0 TRANS41880 tumblr_noqzdsp8XL1uou85do1_500 What does the man do after jump skateboard ?lift arm	What does the man do after jump skateboard ?talk to woman	What does the man do after jump skateboard ?shoot other guy	What does the man do after jump skateboard ?happy	What does the man do after jump skateboard ?think
3 4 TRANS5379 tumblr_nbhwzgChv21suehu3o1_250 What does the man do before turn around ?gasp	What does the man do before turn around ?eat	What does the man do before turn around ?sing	What does the man do before turn around ?play drum	What does the man do before turn around ?wave hand
0 2 TRANS34876 tumblr_nnunhrJl321u4f3j0o1_540 What does the man do after shake hand ?hug man	What does the man do after shake hand ?lean back	What does the man do after shake hand ?fix a tie	What does the man do after shake hand ?draw mustache on face with whip cream	What does the man do after shake hand ?kiss dog
1 3 TRANS58569 tumblr_nc0iy8IQJ61rzjf53o1_500 What does the girl do before get kissed by a man ?stop shake leg	What does the girl do before get kissed by a man ?walk to the center of the camera frame	What does the girl do before get kissed by a man ?run	What does the girl do before get kissed by a man ?touch lips	What does the girl do before get kissed by a man ?catch a frisbee
4 0 TRANS20560 tumblr_nctxmoN88Z1t9h1yfo1_400 What does the woman do after walk up ?play the keyboard	What does the woman do after walk up ?glance to left	What does the woman do after walk up ?lift glass	What does the woman do after walk up ?wave at camera	What does the woman do after walk up ?rub head
1 3 TRANS52085 tumblr_n9wkpeXC991re6qqko1_500 What does the man do before talk to a woman ?pick up a child	What does the man do before talk to a woman ?smile at the camera while dance	What does the man do before talk to a woman ?touch guy's chin	What does the man do before talk to a woman ?raise head	What does the man do before talk to a woman ?stick to walls
4 0 TRANS30990 tumblr_n9cftanMMb1rzot3uo2_250 What does the woman do after walk ?talk on phone	What does the woman do after walk ?lift	What does the woman do after walk ?stretch	What does the woman do after walk ?swing swords	What does the woman do after walk ?bend head down
0 2 TRANS10170 tumblr_nr8fzalWNw1raxlgvo1_400 What does the man do after stare ?cover face with towel	What does the man do after stare ?sway hips	What does the man do after stare ?whip head to the side	What does the man do after stare ?fondle a cat	What does the man do after stare ?fasten belt
4 2 TRANS39053 tumblr_nka49rCQ1x1u5t7nqo1_400 What does the man who hold a plastic wrap do before attach a guy on the wall with plastic wrap ?not smile	What does the man who hold a plastic wrap do before attach a guy on the wall with plastic wrap ?head down	What does the man who hold a plastic wrap do before attach a guy on the wall with plastic wrap ?sneak up on guy against wall	What does the man who hold a plastic wrap do before attach a guy on the wall with plastic wrap ?raise one arm and spray something	What does the man who hold a plastic wrap do before attach a guy on the wall with plastic wrap ?lift left leg
0 1 TRANS17571 tumblr_n9powlIXXD1tiu45ao1_400 What does the woman do before look to left ?point forward	What does the woman do before look to left ?sing	What does the woman do before look to left ?remove helmet	What does the woman do before look to left ?tip body back and forth	What does the woman do before look to left ?lock the bottle
1 0 TRANS11364 tumblr_nfmvjpiyJR1s91buko1_250 What does the man do after rub hair ?open mouth	What does the man do after rub hair ?shake head	What does the man do after rub hair ?cringe face	What does the man do after rub hair ?toss hair	What does the man do after rub hair ?shock
3 1 TRANS28882 tumblr_nogk5y4GWe1uvzfbqo1_400 What does the man do after slide chair ?smile	What does the man do after slide chair ?lower chair	What does the man do after slide chair ?laugh	What does the man do after slide chair ?talk to man	What does the man do after slide chair ?sing into microphone
2 0 TRANS45864 tumblr_ngipx3UXAX1rnuooxo1_250 What does the man do after release microphone ?start sing	What does the man do after release microphone ?kiss girl	What does the man do after release microphone ?smile	What does the man do after release microphone ?lie on the floor	What does the man do after release microphone ?flip a man
