0 1 TRANS24492 tumblr_nbjsyhLncl1tujnioo1_500 What does the man do after look serious ?step back	What does the man do after look serious ?drink from a glass	What does the man do after look serious ?wave hand around	What does the man do after look serious ?slide on two wheels	What does the man do after look serious ?cross road
2 1 TRANS11630 tumblr_ndoqxcn3iN1sd2bbjo1_400 What does the woman with a yellow clothe do after play rock paper scissor ?stare at a man	What does the woman with a yellow clothe do after play rock paper scissor ?celebrate	What does the woman with a yellow clothe do after play rock paper scissor ?flex arm	What does the woman with a yellow clothe do after play rock paper scissor ?blink eyes	What does the woman with a yellow clothe do after play rock paper scissor ?flat
4 2 TRANS26344 tumblr_n9mv3bqKHc1rbrf4xo1_250 What does the singer do after raise hand up ?fix glass	What does the singer do after raise hand up ?reach towards a man	What does the singer do after raise hand up ?dance	What does the singer do after raise hand up ?pass to the right side of a tower	What does the singer do after raise hand up ?lower microphone
0 3 TRANS45947 tumblr_nhymlqyEFX1s61ex7o1_250 What does the dog do before face camera ?jump up	What does the dog do before face camera ?run	What does the dog do before face camera ?throw ball to cat	What does the dog do before face camera ?face man	What does the dog do before face camera ?pick up laptop
3 0 TRANS12371 tumblr_npov77hGPR1sht3fmo1_250 What does the man do before turn head ?wear a sunglasses	What does the man do before turn head ?wave	What does the man do before turn head ?exit the curve	What does the man do before turn head ?nod head	What does the man do before turn head ?reach out arm
4 1 TRANS31118 tumblr_nqy0wwLGsd1tl934lo1_250 What does the guy on right do after high fives other guy ?lift weight	What does the guy on right do after high fives other guy ?miss high five	What does the guy on right do after high fives other guy ?lean in	What does the guy on right do after high fives other guy ?raise eye	What does the guy on right do after high fives other guy ?bend over
2 0 TRANS4485 tumblr_nkbe7fQmbE1sts6bno1_250 What does the man do before cover eye with palm ?wipe eye with finger	What does the man do before cover eye with palm ?wag tail	What does the man do before cover eye with palm ?on camera	What does the man do before cover eye with palm ?shuffle	What does the man do before cover eye with palm ?dangle feet
1 0 TRANS44392 tumblr_njqkro43rB1unisi8o1_400 What does the woman do after fall down ?cover mouth	What does the woman do after fall down ?walk	What does the woman do after fall down ?laugh	What does the woman do after fall down ?talk	What does the woman do after fall down ?turns a corner
2 0 TRANS13284 tumblr_n8pz9lt6uQ1th54poo1_400 What does the woman do after put something in mouth ?lower hand	What does the woman do after put something in mouth ?celebrate with team	What does the woman do after put something in mouth ?shake butt	What does the woman do after put something in mouth ?dance from left	What does the woman do after put something in mouth ?kiss the girl
4 1 TRANS34192 tumblr_nkgh9qN2aw1s71nvbo1_400 What does the man do after come to a crowd ?open umbrella	What does the man do after come to a crowd ?beat people	What does the man do after come to a crowd ?hide behind doll	What does the man do after come to a crowd ?disappear	What does the man do after come to a crowd ?slide to a stop
0 2 TRANS7271 tumblr_na2b8qVQJy1tih0nao1_250 What does the woman do before move to side ?brush a car	What does the woman do before move to side ?wink at camera	What does the woman do before move to side ?dance behind man	What does the woman do before move to side ?drive around curve	What does the woman do before move to side ?skate
2 3 TRANS22072 tumblr_nq09sfR1ZE1uwvxdio1_250 What does the guy on left do after jump on other guy ?reach out at the camera	What does the guy on left do after jump on other guy ?serious face	What does the guy on left do after jump on other guy ?sing	What does the guy on left do after jump on other guy ?wrap legs around other guy	What does the guy on left do after jump on other guy ?act serious
1 0 TRANS46051 tumblr_nduyhsKaEd1tqd3ieo1_500 What does the man do before stretch arm ?blow smoke	What does the man do before stretch arm ?walk forward	What does the man do before stretch arm ?touch himself	What does the man do before stretch arm ?open mouth	What does the man do before stretch arm ?raise head up
0 3 TRANS51548 tumblr_n9rq8iQZvP1tpb3fho1_250 What does the woman do after pick up cup ?hand under chin	What does the woman do after pick up cup ?grab both hands	What does the woman do after pick up cup ?blow a kiss	What does the woman do after pick up cup ?talk	What does the woman do after pick up cup ?fall off a bench
1 2 TRANS17106 tumblr_nkxhmpEcZq1scd4jmo1_250 What do the woman in polka dots do after stop on ground ?concentrate	What do the woman in polka dots do after stop on ground ?spin on pole	What do the woman in polka dots do after stop on ground ?open mouth	What do the woman in polka dots do after stop on ground ?grind pole	What do the woman in polka dots do after stop on ground ?sing into microphone
4 2 TRANS32305 tumblr_ndfkplzWvY1r8ici8o1_250 What does the woman do before run away ?breathe heavy and frown	What does the woman do before run away ?lean down	What does the woman do before run away ?hit a zombie	What does the woman do before run away ?speak into mic	What does the woman do before run away ?hide in can
3 1 TRANS43138 tumblr_nb6glp1YfP1rxgbfdo1_500 What does the man do after look embarrass ?walk through door	What does the man do after look embarrass ?scratch the back of head	What does the man do after look embarrass ?lie down	What does the man do after look embarrass ?close eye	What does the man do after look embarrass ?raise arm over head
0 3 TRANS47585 tumblr_nhnn659Pax1r3k2tko1_500 What does the woman do before smile ?run hand through hair	What does the woman do before smile ?raise head from couch	What does the woman do before smile ?walk	What does the woman do before smile ?touch hair	What does the woman do before smile ?stop
4 1 TRANS1269 tumblr_ngio6fsQ8p1ssgyoro1_400 What does the cat do before get stroked by a person ?widen eye	What does the cat do before get stroked by a person ?touch the person's hand with paw	What does the cat do before get stroked by a person ?snuggle into girl's neck	What does the cat do before get stroked by a person ?squint	What does the cat do before get stroked by a person ?climb up to table
3 2 TRANS24055 tumblr_nbwc4uneyQ1tfb0wao1_400 What does the man do before lean back ?drive car	What does the man do before lean back ?on guy's face	What does the man do before lean back ?cry	What does the man do before lean back ?check on other man	What does the man do before lean back ?slide on counter
1 4 TRANS46013 tumblr_n9uzodf3Kx1srbyoyo1_400 What does the boxer do before beat that boxer ?raise their arm	What does the boxer do before beat that boxer ?run toward the right	What does the boxer do before beat that boxer ?start laughing	What does the boxer do before beat that boxer ?open eye	What does the boxer do before beat that boxer ?hug other boxer
2 4 TRANS55920 tumblr_nbgjlsgNfd1skvcujo1_500 What does the man with a microphone do after push another man away ?stick out tongue	What does the man with a microphone do after push another man away ?smile	What does the man with a microphone do after push another man away ?touch girls face	What does the man with a microphone do after push another man away ?pick up boy	What does the man with a microphone do after push another man away ?raise the microphone
1 3 TRANS20363 tumblr_n9znvoHWja1shpnybo1_400 What does the lady do before wave ?fix woman's scary	What does the lady do before wave ?run hand up leg	What does the lady do before wave ?land on skateboard	What does the lady do before wave ?hug boy	What does the lady do before wave ?in the water
2 4 TRANS56257 tumblr_ncazoq85vS1s4oc34o1_400 What does the man with a yellow clothe do before look angry ?stick tongue out	What does the man with a yellow clothe do before look angry ?touch someone's jaw	What does the man with a yellow clothe do before look angry ?smile	What does the man with a yellow clothe do before look angry ?lay down	What does the man with a yellow clothe do before look angry ?stop friends
0 1 TRANS34756 tumblr_nksnvrya2s1suheswo1_400 What does the biker do after ride behind the others ?slide down stairs	What does the biker do after ride behind the others ?give a biker a high five	What does the biker do after ride behind the others ?falling	What does the biker do after ride behind the others ?swing arm	What does the biker do after ride behind the others ?slowly slink downwards
3 2 TRANS58349 tumblr_n069vwZcxH1sli2hso1_500 What does the man do before raise fist ?throw up ball	What does the man do before raise fist ?run forward	What does the man do before raise fist ?smile	What does the man do before raise fist ?jump	What does the man do before raise fist ?pick up sand
0 1 TRANS40828 tumblr_nh2cio27zt1u5p6oyo1_500 What does the woman do after smile ?kiss girl on cheek	What does the woman do after smile ?raise hand	What does the woman do after smile ?straight face	What does the woman do after smile ?smile	What does the woman do after smile ?flip
3 0 TRANS22241 tumblr_ne4c3hRuqZ1sm50zqo1_500 What does the woman do before smile ?raise arm	What does the woman do before smile ?rock back	What does the woman do before smile ?stare to side	What does the woman do before smile ?snap finger	What does the woman do before smile ?blink
0 3 TRANS22372 tumblr_nkwv06B3Ng1t5jzovo1_400 What does the man do after lick lips ?shift eye	What does the man do after lick lips ?point	What does the man do after lick lips ?lower arm	What does the man do after lick lips ?sing	What does the man do after lick lips ?stretch
1 4 TRANS31985 tumblr_ncpf2tLxkQ1twoe5do1_400 What does the man on the right do before raise a trumpet ?lean forward	What does the man on the right do before raise a trumpet ?scream	What does the man on the right do before raise a trumpet ?dance walk forward	What does the man on the right do before raise a trumpet ?smile	What does the man on the right do before raise a trumpet ?hold arm up
0 4 TRANS33916 tumblr_n9qqt7ckM71t0k260o1_400 What does the man do after wipe face ?scream	What does the man do after wipe face ?shake head	What does the man do after wipe face ?kiss her	What does the man do after wipe face ?hug girl	What does the man do after wipe face ?point at crowd
2 0 TRANS33723 tumblr_nb5q4l2gK91rixe5zo1_400 What does the man do before stretch fingers ?scream	What does the man do before stretch fingers ?carry groceries	What does the man do before stretch fingers ?takes off shirt	What does the man do before stretch fingers ?stretch limbs	What does the man do before stretch fingers ?step away
0 2 TRANS55301 tumblr_nkgnrucLOa1r0ia88o1_400 What does the woman do before open the door ?face ocean	What does the woman do before open the door ?smile	What does the woman do before open the door ?pick up things	What does the woman do before open the door ?shake hair	What does the woman do before open the door ?lay down stick
2 1 TRANS2055 tumblr_ndar2w45c51t7jda2o1_250 What does the woman do before jump in excitement ?grimace	What does the woman do before jump in excitement ?shoot ball into hoop	What does the woman do before jump in excitement ?wrestle another man	What does the woman do before jump in excitement ?drum	What does the woman do before jump in excitement ?sway right
0 1 TRANS20364 tumblr_n9znvoHWja1shpnybo1_400 What does the lady do after hug boy ?lean backward	What does the lady do after hug boy ?wave	What does the lady do after hug boy ?eat a strawberry	What does the lady do after hug boy ?tie up	What does the lady do after hug boy ?fit foot in shoe
2 0 TRANS45787 tumblr_nc8uv49Wi11tp09vco1_250 What does the man with a long hair do before blow a kiss ?point the front	What does the man with a long hair do before blow a kiss ?shake hands	What does the man with a long hair do before blow a kiss ?kiss woman's cheek	What does the man with a long hair do before blow a kiss ?smile	What does the man with a long hair do before blow a kiss ?flip hair
0 1 TRANS7227 tumblr_nd6tq5naM61sq9h0ho1_400 What does the woman do before wave hand ?inhale a cigarette	What does the woman do before wave hand ?cover mouth	What does the woman do before wave hand ?dribble ball around yellow players	What does the woman do before wave hand ?pause	What does the woman do before wave hand ?flash
4 3 TRANS52091 tumblr_ni35qtxOtN1u4x9lco1_500 What does the boy do before take the cover off ?start give smile	What does the boy do before take the cover off ?pick it up	What does the boy do before take the cover off ?touch face	What does the boy do before take the cover off ?lie down with face cover	What does the boy do before take the cover off ?grab tail
1 4 TRANS37 tumblr_nhm6mzMYqw1tw1upko1_250 What does the boy in jacket do before bite lip ?cover face	What does the boy in jacket do before bite lip ?roll eyes	What does the boy in jacket do before bite lip ?twirl	What does the boy in jacket do before bite lip ?pat guy's chest	What does the boy in jacket do before bite lip ?close mouth
3 4 TRANS8843 tumblr_nk6u7h2I8Z1saeojro1_400 What does the man do before step back ?wink	What does the man do before step back ?shrug shoulder	What does the man do before step back ?pump arm	What does the man do before step back ?raise eyebrows	What does the man do before step back ?stare
4 0 TRANS39909 tumblr_niu3xmqvkH1qb7ropo1_500 What does the man do before wave both hand ?wave one hand	What does the man do before wave both hand ?pick up	What does the man do before wave both hand ?shoot puck	What does the man do before wave both hand ?walk back	What does the man do before wave both hand ?sit
4 0 TRANS42532 tumblr_ndpvlv2vBX1qfz6d1o1_500 What does the man do after shake head ?roll eye	What does the man do after shake head ?close eye	What does the man do after shake head ?walk	What does the man do after shake head ?talk towards light	What does the man do after shake head ?open mouth
0 4 TRANS35469 tumblr_ncw0wcn5Ew1tijnqno1_500 What does the man do before lift legs ?raise legs	What does the man do before lift legs ?step back	What does the man do before lift legs ?hit head on ground	What does the man do before lift legs ?lean forward	What does the man do before lift legs ?hang on a pole
4 0 TRANS33833 tumblr_naxpzlmRZc1tvp5nto1_400 What does the man do before change direction ?pretend to swim with sea creature	What does the man do before change direction ?lift head up	What does the man do before change direction ?stretch both hands	What does the man do before change direction ?hit a ball with head	What does the man do before change direction ?slide on block
0 3 TRANS56398 tumblr_nkux12i23M1tirdpvo1_400 What does the person do after wear stocking ?fall off shelf	What does the person do after wear stocking ?run along the roof peak	What does the person do after wear stocking ?open laptop	What does the person do after wear stocking ?rub legs	What does the person do after wear stocking ?point something
2 3 TRANS39851 tumblr_nekkoo8eQO1r967ipo1_500 What does the man do before look forward ?point	What does the man do before look forward ?run	What does the man do before look forward ?have a hole	What does the man do before look forward ?kiss girl	What does the man do before look forward ?raise hand and point
3 0 TRANS38768 tumblr_ng329lAqkq1sh2a17o1_400 What does the boy with laptop do after sit upright ?lay down	What does the boy with laptop do after sit upright ?spin around	What does the boy with laptop do after sit upright ?ride a skateboard down ramp	What does the boy with laptop do after sit upright ?kick legs	What does the boy with laptop do after sit upright ?hit man
1 3 TRANS28435 tumblr_njb0ljx8qq1u92e13o1_250 What does the woman do before become emotion ?slide on floor backward	What does the woman do before become emotion ?stare	What does the woman do before become emotion ?dance to the right of the camera	What does the woman do before become emotion ?try to keep calm	What does the woman do before become emotion ?front of their faces
4 3 TRANS5129 tumblr_nbcyot0xr11t5voh8o1_250 What does the boy do before turn away ?lick lips	What does the boy do before turn away ?gasp	What does the boy do before turn away ?tilt head left	What does the boy do before turn away ?wave hand	What does the boy do before turn away ?sing
0 4 TRANS48617 tumblr_nr2vau6kkr1utqicho1_500 What does the person who play soccer do before trip ?flip backwards	What does the person who play soccer do before trip ?smile	What does the person who play soccer do before trip ?shake head	What does the person who play soccer do before trip ?touch chin	What does the person who play soccer do before trip ?run
4 1 TRANS33946 tumblr_namb9eKBsf1tk0ytuo1_400 What does the girl with red hair do after kiss other girl ?reach down to pull the hand up	What does the girl with red hair do after kiss other girl ?laugh out loud	What does the girl with red hair do after kiss other girl ?stretch them backwards	What does the girl with red hair do after kiss other girl ?slide on a treadmill	What does the girl with red hair do after kiss other girl ?step back
0 4 TRANS35422 tumblr_nai0l5mxue1tosnwso1_400 What does the man on right do after talking ?push it over head	What does the man on right do after talking ?reach for woman	What does the man on right do after talking ?point	What does the man on right do after talking ?drop a cup	What does the man on right do after talking ?dancing
3 1 TRANS52414 tumblr_n8qeorPOOE1t6ksnpo1_500 What does the man do after pour the water to other man ?raise hand	What does the man do after pour the water to other man ?look at that man	What does the man do after pour the water to other man ?shake boob	What does the man do after pour the water to other man ?throw log down against other log	What does the man do after pour the water to other man ?blow smoke out of mouth
2 1 TRANS58809 tumblr_nraf01MZL21scwzvxo1_400 What does the man do before circle right arm ?close mouth	What does the man do before circle right arm ?shake head	What does the man do before circle right arm ?point finger	What does the man do before circle right arm ?catch in the door	What does the man do before circle right arm ?walk backwards
1 2 TRANS43898 tumblr_ng0ykvjZDz1s74pxto1_400 What does the left man do after gesture peace ?open mouth	What does the left man do after gesture peace ?smile	What does the left man do after gesture peace ?throw gang sign	What does the left man do after gesture peace ?ride a skateboard on ledge	What does the left man do after gesture peace ?face towards the camera
2 1 TRANS13088 tumblr_nafngzqDRD1teqt83o1_250 What does the blonde woman on right do after snap finger ?apply makeup	What does the blonde woman on right do after snap finger ?laugh	What does the blonde woman on right do after snap finger ?wave hand	What does the blonde woman on right do after snap finger ?extended	What does the blonde woman on right do after snap finger ?block the shoot
3 4 TRANS1823 tumblr_nb5m2qyLay1tkbk15o1_250 What does the man do before point toward screen ?uncover face	What does the man do before point toward screen ?swerve right	What does the man do before point toward screen ?nibble pancake	What does the man do before point toward screen ?look at camera	What does the man do before point toward screen ?stroke hair
2 3 TRANS56713 tumblr_nhvd9bsgbE1u7ielzo1_500 What does the man with blue shirt do before start talking ?jump on dog	What does the man with blue shirt do before start talking ?smile	What does the man with blue shirt do before start talking ?open a car door	What does the man with blue shirt do before start talking ?turn head	What does the man with blue shirt do before start talking ?hang on a pole
1 2 TRANS20659 tumblr_mmv0kampwW1sovfbao1_250 What does the man do before dance widely ?open mouth wide	What does the man do before dance widely ?lower a large babel	What does the man do before dance widely ?shake butt	What does the man do before dance widely ?appear to exhale	What does the man do before dance widely ?in light room
0 3 TRANS28266 tumblr_nhda950VbF1tiqgpxo1_250 What does the couple do after face each other ?hug	What does the couple do after face each other ?lick lip	What does the couple do after face each other ?bite lip	What does the couple do after face each other ?start kissing.	What does the couple do after face each other ?bend
3 0 TRANS19379 tumblr_ncipuyvQXg1sw0xulo1_400 What does the woman do before smile ?show heart finger	What does the woman do before smile ?land to a board	What does the woman do before smile ?dip finger in food substance	What does the woman do before smile ?hug girl	What does the woman do before smile ?lick lips
3 1 TRANS27916 tumblr_naj9smLJW61tb2khbo1_250 What does the man do after walk ?punch	What does the man do after walk ?lie down	What does the man do after walk ?drag head on ground	What does the man do after walk ?hit car	What does the man do after walk ?fix tie
3 4 TRANS9635 tumblr_nfs3zdVBpy1u2uoslo1_250 What does the man do before smile at another boy ?sway hips	What does the man do before smile at another boy ?blink	What does the man do before smile at another boy ?shimmy	What does the man do before smile at another boy ?shake head	What does the man do before smile at another boy ?open door
