0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
1 4 TRANS34079 tumblr_nkm1jpxtCI1tux4fao1_400 What does the man do before pump arm ?change their position	What does the man do before pump arm ?speak	What does the man do before pump arm ?stay the same	What does the man do before pump arm ?looking down	What does the man do before pump arm ?smash cone on head
2 4 TRANS3478 tumblr_n979a0Asuy1thg3s4o1_250 What does the man do after talk ?hug a girl	What does the man do after talk ?glide past camera	What does the man do after talk ?tuck hair behind ear	What does the man do after talk ?puff out smooke	What does the man do after talk ?fall
0 2 TRANS23678 tumblr_nc6q7aAfw31r4ghsso1_500 What does the man do after cry ?calm	What does the man do after cry ?walk up stairs	What does the man do after cry ?cover face with hand	What does the man do after cry ?hug left man	What does the man do after cry ?cheer
1 2 TRANS10976 tumblr_nrk1m8jyFc1qgwr89o1_400 What does the man do after look angry ?ram the girl	What does the man do after look angry ?wipe eye	What does the man do after look angry ?become aggressive	What does the man do after look angry ?clap hand	What does the man do after look angry ?lifting weights
1 0 TRANS26343 tumblr_n9mv3bqKHc1rbrf4xo1_250 What does the singer do before dance ?raise hand up	What does the singer do before dance ?snap	What does the singer do before dance ?lick lips	What does the singer do before dance ?slip and get sticked in a box	What does the singer do before dance ?looks at camera
3 4 TRANS5644 tumblr_ndn9x8uJV51txnbu3o1_400 What does the guy on left do after spin record ?frown	What does the guy on left do after spin record ?wag finger	What does the guy on left do after spin record ?exhale smoke	What does the guy on left do after spin record ?pump fist to camera	What does the guy on left do after spin record ?slap middle guy's hand
4 2 TRANS37648 tumblr_nojismJxtD1r90etqo1_400 What does the man do after strike person ?draw heart	What does the man do after strike person ?lean body backward	What does the man do after strike person ?fix hair	What does the man do after strike person ?kiss collar	What does the man do after strike person ?walk toward camera
0 4 TRANS28226 tumblr_nf5m5fBbyF1u11j39o1_500 What does the man do after look at camera ?lean head back	What does the man do after look at camera ?suck index finger into mouth	What does the man do after look at camera ?spread out arm	What does the man do after look at camera ?serious	What does the man do after look at camera ?walk away
4 2 TRANS26595 tumblr_n9vh2js6zv1t1j5ogo1_250 What does the man do before look up ?laugh	What does the man do before look up ?sing	What does the man do before look up ?lower body	What does the man do before look up ?stare	What does the man do before look up ?listen
2 0 TRANS43412 tumblr_nf7gq1ZaK81te9v75o1_400 What does the man do after blink eyes ?shake head	What does the man do after blink eyes ?open arm	What does the man do after blink eyes ?close it and smile	What does the man do after blink eyes ?run	What does the man do after blink eyes ?point
3 2 TRANS33393 tumblr_na403e8Ozd1qeda9uo1_400 What does the cat do before drop a cup ?talking	What does the cat do before drop a cup ?talk	What does the cat do before drop a cup ?bend down	What does the cat do before drop a cup ?play defense	What does the cat do before drop a cup ?happy
0 1 TRANS35689 tumblr_nc47bdxzrD1taknwvo1_500 What does the person on left do before laugh ?talk	What does the person on left do before laugh ?lift hand up	What does the person on left do before laugh ?play on step	What does the person on left do before laugh ?shoot puck	What does the person on left do before laugh ?okay
4 0 TRANS23936 tumblr_nhdr3clKDa1sntw1mo1_400 What does the dog do after look at shelf ?smile later with tongue out	What does the dog do after look at shelf ?run	What does the dog do after look at shelf ?lower head	What does the dog do after look at shelf ?drive foward	What does the dog do after look at shelf ?on camera
0 3 TRANS13267 tumblr_nd91f9LHKy1tmei2go1_400 What does the man who hold a knife do before lick lips ?peace sign	What does the man who hold a knife do before lick lips ?celebrate	What does the man who hold a knife do before lick lips ?playing guitar	What does the man who hold a knife do before lick lips ?brush hair	What does the man who hold a knife do before lick lips ?kicks ball
0 1 TRANS37952 tumblr_nqvj8l4kcT1uq7zwjo1_400 What does the man do after hug toy ?stand in the room	What does the man do after hug toy ?twitch mouth	What does the man do after hug toy ?place flare on motorcycle driver	What does the man do after hug toy ?step away	What does the man do after hug toy ?pick up bottle
0 2 TRANS28307 tumblr_ni2gaft02A1u3mx44o1_250 What does the man do before hit with head ?show a page	What does the man do before hit with head ?eye open	What does the man do before hit with head ?throw item up	What does the man do before hit with head ?smile slowly	What does the man do before hit with head ?pose
2 3 TRANS18860 tumblr_nebrsyHwge1tky9gno1_400 What does the boy do after sit back in seat ?hesitate	What does the boy do after sit back in seat ?eat carrot	What does the boy do after sit back in seat ?rub hand down a woman's leg	What does the boy do after sit back in seat ?wave hand	What does the boy do after sit back in seat ?tie around metal
4 1 TRANS4705 tumblr_njszveBsHr1shch57o1_250 What does the man do before step left ?pump arm	What does the man do before step left ?kick leg	What does the man do before step left ?skate	What does the man do before step left ?inhale smoke	What does the man do before step left ?empty room
3 0 TRANS30989 tumblr_n9cftanMMb1rzot3uo2_250 What does the woman do before talk on phone ?walk	What does the woman do before talk on phone ?suck in lips	What does the woman do before talk on phone ?serious	What does the woman do before talk on phone ?lean in	What does the woman do before talk on phone ?roll off the beach
1 2 TRANS36318 tumblr_nhcuhcEsTz1tme5hso1_400 What does the man do after cover ears ?play with ball	What does the man do after cover ears ?talk at camera	What does the man do after cover ears ?lift head	What does the man do after cover ears ?shoot other guy	What does the man do after cover ears ?pretend to drink from mug
0 4 TRANS1814 tumblr_nkoayb3XdE1rtsl8yo1_250 What does the man do after walk ?cover face with hands	What does the man do after walk ?in second place	What does the man do after walk ?shrug shoulder	What does the man do after walk ?tilt couch	What does the man do after walk ?shake head
1 0 TRANS46051 tumblr_nduyhsKaEd1tqd3ieo1_500 What does the man do before stretch arm ?blow smoke	What does the man do before stretch arm ?walk forward	What does the man do before stretch arm ?touch himself	What does the man do before stretch arm ?open mouth	What does the man do before stretch arm ?raise head up
1 2 TRANS7752 tumblr_nf3uzbrHlA1rmgp3fo1_500 What does the man do after smoke something ?claw towards other man	What does the man do after smoke something ?snort substance	What does the man do after smoke something ?point a gun at the camera	What does the man do after smoke something ?glare at the camera	What does the man do after smoke something ?tumble down structure
1 4 TRANS1990 tumblr_ndpu91LvOA1rhxlc2o1_400 What does the woman do after hold stuff monkey ?on water	What does the woman do after hold stuff monkey ?brandish arm to the left	What does the woman do after hold stuff monkey ?adjust mic	What does the woman do after hold stuff monkey ?skid on snow	What does the woman do after hold stuff monkey ?kiss it
4 0 TRANS45443 tumblr_njtvm1ky4S1u9tekro1_500 What does the woman do before blink eye ?stick out tongue	What does the woman do before blink eye ?raise hand	What does the woman do before blink eye ?open them	What does the woman do before blink eye ?smile	What does the woman do before blink eye ?close eyes
0 1 TRANS21517 tumblr_n97vfsXK3r1tg8fs5o1_500 What does the woman do before smile ?cover mouth	What does the woman do before smile ?drink from bottle	What does the woman do before smile ?moving hand	What does the woman do before smile ?hook leg over dance partner	What does the woman do before smile ?wave hand gesture
1 3 TRANS44210 tumblr_nbacabFR0K1sht3fmo1_400 What does the man do after stand ?lie on a big lips	What does the man do after stand ?raise glass	What does the man do after stand ?ride a bike	What does the man do after stand ?punch another man in the face	What does the man do after stand ?open eye wide
0 2 TRANS45905 tumblr_nr27rwr8nj1u56zbgo1_500 What does the man do before laugh ?happy	What does the man do before laugh ?talk	What does the man do before laugh ?fold arm	What does the man do before laugh ?run to right	What does the man do before laugh ?stop
3 0 TRANS46927 tumblr_n8tdp9KZ8d1sp72gno1_500 What does the woman do before turn head ?stand	What does the woman do before turn head ?kiss man	What does the woman do before turn head ?kick rival	What does the woman do before turn head ?smile	What does the woman do before turn head ?blow it out
4 0 TRANS53857 tumblr_nir4hpcZqn1sw4189o1_500 What does the woman do before turn head to left ?laugh	What does the woman do before turn head to left ?open eye	What does the woman do before turn head to left ?run into locker	What does the woman do before turn head to left ?push chair	What does the woman do before turn head to left ?close eye
4 3 TRANS53337 tumblr_n8zhb6N1pA1rtk9cxo1_250 What does the man do before put hand to face ?push other person away	What does the man do before put hand to face ?open laptop	What does the man do before put hand to face ?run away	What does the man do before put hand to face ?laugh	What does the man do before put hand to face ?close eye
3 4 TRANS33834 tumblr_naxpzlmRZc1tvp5nto1_400 What does the man do after pretend to swim with sea creature ?sitting	What does the man do after pretend to swim with sea creature ?kiss with another person	What does the man do after pretend to swim with sea creature ?shoot basketball	What does the man do after pretend to swim with sea creature ?hug other girl	What does the man do after pretend to swim with sea creature ?change direction
4 2 TRANS49491 tumblr_n8qiycY2KN1rs3l09o1_500 What does the man do before cover mouth ?touch a horse	What does the man do before cover mouth ?smile	What does the man do before cover mouth ?raise hand	What does the man do before cover mouth ?head back	What does the man do before cover mouth ?laugh
3 0 TRANS42875 tumblr_nkk5d5OAP41u6hnr3o1_500 What does the man who is laying on the ground do before kiss ?lean head back	What does the man who is laying on the ground do before kiss ?hit it	What does the man who is laying on the ground do before kiss ?stop lean back	What does the man who is laying on the ground do before kiss ?wait	What does the man who is laying on the ground do before kiss ?place bat side by side
0 4 TRANS34406 tumblr_nkwm3jxjCc1ssh519o1_400 What does the coach do after stand with arm open ?begin singing	What does the coach do after stand with arm open ?run	What does the coach do after stand with arm open ?change to hold a headphone from left hand to right hand	What does the coach do after stand with arm open ?play with toy	What does the coach do after stand with arm open ?hug the player
2 1 TRANS21451 tumblr_nay84a39Un1tgr5e4o1_100 What does the man do before pose ?stare someone	What does the man do before pose ?dry hair	What does the man do before pose ?nod head	What does the man do before pose ?leap over the pile of players	What does the man do before pose ?embrace another woman
1 0 TRANS24394 tumblr_ngbvduimWV1u5x3t7o1_400 What does the woman do after dance ?freeze	What does the woman do after dance ?smile	What does the woman do after dance ?sing into microphone	What does the woman do after dance ?walk away	What does the woman do after dance ?front of their faces
0 1 TRANS31011 tumblr_na6ss6zATK1tht2hyo1_250 What does the woman do before play with boy's hair ?lean toward another man	What does the woman do before play with boy's hair ?play with hair	What does the woman do before play with boy's hair ?lift a guitar	What does the woman do before play with boy's hair ?breath	What does the woman do before play with boy's hair ?bend down
1 0 TRANS4943 tumblr_nbt3fbQve61rew6cho1_250 What does the woman do before throw popcorn ?play with hat	What does the woman do before throw popcorn ?hug	What does the woman do before throw popcorn ?wink	What does the woman do before throw popcorn ?smoke the cigarette	What does the woman do before throw popcorn ?sniff foot
2 1 TRANS46139 tumblr_nk2qwwqNBf1svos5ho1_400 What does the person on center do before point someone ?raise arm	What does the person on center do before point someone ?touch face	What does the person on center do before point someone ?walk away	What does the person on center do before point someone ?run	What does the person on center do before point someone ?stop
0 4 TRANS38512 tumblr_nr8msaCuBE1u84va7o1_400 What does the woman with black hair do after hold head ?lean forward	What does the woman with black hair do after hold head ?lift it over head	What does the woman with black hair do after hold head ?flip cloth	What does the woman with black hair do after hold head ?swing controller	What does the woman with black hair do after hold head ?say yes
3 0 TRANS58019 tumblr_nkmyak4ruv1regh8vo1_500 What does the woman do before make a face ?hand movements	What does the woman do before make a face ?jump	What does the woman do before make a face ?run down court	What does the woman do before make a face ?fall	What does the woman do before make a face ?catch a ball
0 1 TRANS45687 tumblr_n8q38bvjRB1tg6xino1_250 What does the woman do before wave hand ?step left	What does the woman do before wave hand ?eat a hotdog	What does the woman do before wave hand ?touch grass	What does the woman do before wave hand ?flip over	What does the woman do before wave hand ?behind mirror
2 0 TRANS2000 tumblr_ngg3bgc0U21qlcsfio1_500 What does the money do after in person's hand ?in box	What does the money do after in person's hand ?yell at someone	What does the money do after in person's hand ?grab an object	What does the money do after in person's hand ?hug	What does the money do after in person's hand ?comb hand through hair
4 0 TRANS29097 tumblr_n94vgu7eef1rraz85o1_400 What does the man do before smile in excitement ?stare ahead	What does the man do before smile in excitement ?raise arm	What does the man do before smile in excitement ?run away	What does the man do before smile in excitement ?spread arm	What does the man do before smile in excitement ?cut vegetables
4 1 TRANS44370 tumblr_nr1qx68R9Q1uulsvio1_400 What does the dark haired man do after lean forward ?run	What does the dark haired man do after lean forward ?shout	What does the dark haired man do after lean forward ?close mouth	What does the dark haired man do after lean forward ?open a door	What does the dark haired man do after lean forward ?place hand on jacket
1 3 TRANS37589 tumblr_n9rb0b8mi11qfrgvko1_r2_500 What does the man in red shirt do before show arm ?lean forward	What does the man in red shirt do before show arm ?point right	What does the man in red shirt do before show arm ?drop herself back down	What does the man in red shirt do before show arm ?sing	What does the man in red shirt do before show arm ?run
3 4 TRANS47180 tumblr_nayv2kyFQI1ts7wbfo1_400 What does the male with blonde hair do after arm down ?try to hold a handgrip	What does the male with blonde hair do after arm down ?talk	What does the male with blonde hair do after arm down ?happy	What does the male with blonde hair do after arm down ?come up to window	What does the male with blonde hair do after arm down ?arm over shoulder
2 0 TRANS44216 tumblr_nfdccwWcd01r4nut8o1_500 What does the woman do after see man ?run away	What does the woman do after see man ?smile	What does the woman do after see man ?kiss woman	What does the woman do after see man ?shake head vigorously	What does the woman do after see man ?touch microphone
3 0 TRANS41302 tumblr_ndtm8zH5Qo1tbmi9ho1_400 What does the man do after stand with back face to the screen ?dance and turn around	What does the man do after stand with back face to the screen ?point arm forward	What does the man do after stand with back face to the screen ?lift head	What does the man do after stand with back face to the screen ?close a box	What does the man do after stand with back face to the screen ?drop it
2 4 TRANS49862 tumblr_no8yanZX4U1tuo9b6o1_250 What does the man on the left do after lean over ?stop twirl the pencil	What does the man on the left do after lean over ?raise an eyebrow	What does the man on the left do after lean over ?walk away	What does the man on the left do after lean over ?run down street	What does the man on the left do after lean over ?touch the ground to sit
1 2 TRANS17065 tumblr_nen200COd21u2nf1so1_400 What does the lady do before kiss bag ?slip over	What does the lady do before kiss bag ?nod head	What does the lady do before kiss bag ?eat item	What does the lady do before kiss bag ?cross hand	What does the lady do before kiss bag ?wave
3 0 TRANS29760 tumblr_niqlvp6RBw1te3vrpo1_540 What does the woman do after walk ?look aside	What does the woman do after walk ?drink from bottle	What does the woman do after walk ?lift left arm up	What does the woman do after walk ?bend	What does the woman do after walk ?dance
4 2 TRANS32082 tumblr_nb1gvnLVNH1rwomrpo1_250 What does the man do after find something ?slap a man	What does the man do after find something ?hug guy	What does the man do after find something ?fall down	What does the man do after find something ?smile	What does the man do after find something ?listen to phone
4 2 TRANS7221 tumblr_ne5uusuvNn1u2p22ho1_250 What does the man and a woman do before start to clap follow by the woman ?tilt head up	What does the man and a woman do before start to clap follow by the woman ?inhale cigarette	What does the man and a woman do before start to clap follow by the woman ?sit counter adjacent from each other	What does the man and a woman do before start to clap follow by the woman ?wave	What does the man and a woman do before start to clap follow by the woman ?drum the steer wheel
4 2 TRANS3684 tumblr_nkc66cOtDa1uodad2o1_250 What does the man do after hold a phone ?kneel on floor	What does the man do after hold a phone ?land the trick	What does the man do after hold a phone ?throw down a phone to a sofa	What does the man do after hold a phone ?shift to left hand	What does the man do after hold a phone ?uncover face
2 1 TRANS12017 tumblr_n8ywiw6h2O1thwjzto1_250 What does the woman do before turn body ?blank face	What does the woman do before turn body ?kick	What does the woman do before turn body ?in the box	What does the woman do before turn body ?visible	What does the woman do before turn body ?express an animal that climb to a tree
4 2 TRANS36434 tumblr_ngmbd5Mgbo1u5la57o1_500 What does the woman do after turn head to left ?place two items	What does the woman do after turn head to left ?raise head up	What does the woman do after turn head to left ?blink eyes	What does the woman do after turn head to left ?lift a glass of wine	What does the woman do after turn head to left ?looking up
1 4 TRANS3845 tumblr_ni0rav89G11sfx7eio1_250 What does the man do before turn body away ?dance	What does the man do before turn body away ?yawn	What does the man do before turn body away ?caress woman's face	What does the man do before turn body away ?gaze	What does the man do before turn body away ?reach out arm
0 4 TRANS43172 tumblr_nbci2vFibY1st6smgo1_500 What do the two women do after face forward ?jump backwards	What do the two women do after face forward ?ride bike	What do the two women do after face forward ?run	What do the two women do after face forward ?throw something toward a man's face	What do the two women do after face forward ?face to the back
4 0 TRANS49140 tumblr_nklx070fBD1qan8eoo1_400 What does the woman do after make hand sign ?lift head up	What does the woman do after make hand sign ?talk to a guy behind her	What does the woman do after make hand sign ?laugh	What does the woman do after make hand sign ?lie on the ground	What does the woman do after make hand sign ?say something to a man
4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
4 3 TRANS28539 tumblr_nnjk2xnlKE1uuqdooo1_250 What does the man in blue shirt do before tap other guy leg ?spread arms	What does the man in blue shirt do before tap other guy leg ?cross arm	What does the man in blue shirt do before tap other guy leg ?reach out	What does the man in blue shirt do before tap other guy leg ?laugh	What does the man in blue shirt do before tap other guy leg ?stretch arm
1 2 TRANS57887 tumblr_nk90851bF31rreccuo1_500 What does the woman do before take off the hat ?jump	What does the woman do before take off the hat ?point hand up	What does the woman do before take off the hat ?wear a hat	What does the woman do before take off the hat ?push up	What does the woman do before take off the hat ?close eye
1 0 TRANS34408 tumblr_ngdo7haqgC1u5snxbo1_500 What does the woman do after talk to the man ?walk away	What does the woman do after talk to the man ?lean forehead on hand	What does the woman do after talk to the man ?roll on ground	What does the woman do after talk to the man ?spin around	What does the woman do after talk to the man ?touch man
2 4 TRANS2244 tumblr_nh7t1vdt1z1s1h8hno1_250 What does the man do after turn to right ?clap hand	What does the man do after turn to right ?stomp foot	What does the man do after turn to right ?bury face	What does the man do after turn to right ?peek out of suitcase	What does the man do after turn to right ?fix tie
4 3 TRANS26473 tumblr_nim346VHpt1u47a83o1_250 What does the lady do before look away ?cross eye	What does the lady do before look away ?play guitar	What does the lady do before look away ?pass a ball to someone else	What does the lady do before look away ?rub boys face	What does the lady do before look away ?answer the phone
1 2 TRANS7949 tumblr_ndtrdwML301t1o9tno1_250 What does the man on left do before slap own face ?wink eye	What does the man on left do before slap own face ?speak	What does the man on left do before slap own face ?swing at other man	What does the man on left do before slap own face ?hallway	What does the man on left do before slap own face ?erase board
1 2 TRANS43326 tumblr_nkn55rkkCU1uo5r7lo1_400 What does the guy do after eat ?close eye	What does the guy do after eat ?point	What does the guy do after eat ?dance	What does the guy do after eat ?drop head to side	What does the guy do after eat ?pick up bag
4 2 TRANS18765 tumblr_n8vicp8VBy1t4pld3o1_400 What does the woman do before put up two fingers ?cover ears	What does the woman do before put up two fingers ?step up	What does the woman do before put up two fingers ?drink	What does the woman do before put up two fingers ?bump beers	What does the woman do before put up two fingers ?extend hand
0 1 TRANS53752 tumblr_nip4tjPEQL1qmy4tbo1_500 What does the man holding a woman do after turn ?talk something	What does the man holding a woman do after turn ?dip down	What does the man holding a woman do after turn ?open eyes	What does the man holding a woman do after turn ?smile	What does the man holding a woman do after turn ?stop holding a straw
3 1 TRANS29636 tumblr_nmx7mzCAES1rfvkblo1_400 What does the man wearing a jacket do after lean with head back ?slide right	What does the man wearing a jacket do after lean with head back ?raise head	What does the man wearing a jacket do after lean with head back ?slip off from motorcycle	What does the man wearing a jacket do after lean with head back ?looks at card	What does the man wearing a jacket do after lean with head back ?watch movie
4 2 TRANS18426 tumblr_ndn0rnXruV1tdmffyo1_250 What does the goat do after jump on man's back ?ride a bike down the cliff	What does the goat do after jump on man's back ?chase hand under sheet	What does the goat do after jump on man's back ?touch man's head	What does the goat do after jump on man's back ?crawl	What does the goat do after jump on man's back ?climb on roof
1 3 TRANS46055 tumblr_nekejw2Vnh1tpgapwo1_500 What does the man on the left do before pound the table with hand ?drop it	What does the man on the left do before pound the table with hand ?step back	What does the man on the left do before pound the table with hand ?open eyes	What does the man on the left do before pound the table with hand ?laugh	What does the man on the left do before pound the table with hand ?raise a whine glass
1 4 TRANS49948 tumblr_ne5q8paqlV1qeuv1ko1_400 What does the woman do after arm down ?raise arm	What does the woman do after arm down ?shake head	What does the woman do after arm down ?smile	What does the woman do after arm down ?blow smoke	What does the woman do after arm down ?point
3 0 TRANS33665 tumblr_n8s0xxT2ig1ssgyoro1_400 What does the dog do before kick it away ?drop ball	What does the dog do before kick it away ?smile	What does the dog do before kick it away ?hug elephant	What does the dog do before kick it away ?play in water	What does the dog do before kick it away ?laugh
3 2 TRANS7164 tumblr_neqqo3SUs41ruoz0ko1_250 What does the woman do after approach to a man ?in a squat	What does the woman do after approach to a man ?chew on the card	What does the woman do after approach to a man ?push man	What does the woman do after approach to a man ?stare at friend	What does the woman do after approach to a man ?smile
1 3 TRANS40707 tumblr_nf3exsMV8S1qfpmkno1_500 What does the man on the left do before hug a woman ?smile	What does the man on the left do before hug a woman ?kiss a man	What does the man on the left do before hug a woman ?straight face	What does the man on the left do before hug a woman ?raise a guitar	What does the man on the left do before hug a woman ?flip hair
0 3 TRANS53548 tumblr_nl3cxnXrtW1syyvhqo1_500 What does the woman do after kiss guy on cheek ?open mouth small	What does the woman do after kiss guy on cheek ?run	What does the woman do after kiss guy on cheek ?start dance	What does the woman do after kiss guy on cheek ?hug guy	What does the woman do after kiss guy on cheek ?point gun
1 4 TRANS12434 tumblr_nauhia4ADE1tfni3oo1_400 What does the man do after pass by ?cheer	What does the man do after pass by ?nod head	What does the man do after pass by ?kicks ball	What does the man do after pass by ?beat up boy	What does the man do after pass by ?object fall
1 4 TRANS58808 tumblr_nfdc35WaSX1u3l171o1_500 What does the man do after smile ?grab near waistline	What does the man do after smile ?stick tongue out	What does the man do after smile ?off	What does the man do after smile ?point to a person on right	What does the man do after smile ?cry
3 2 TRANS12734 tumblr_ng2ar7n3F71u4v3ypo1_400 What does the cat do after lick a beer can ?stroke hair	What does the cat do after lick a beer can ?pump arm	What does the cat do after lick a beer can ?look back	What does the cat do after lick a beer can ?yell at a dinosaur	What does the cat do after lick a beer can ?clap hand
4 0 TRANS32431 tumblr_na9bbyX3y51tf36dpo3_400 What does the pilot do before take off ?in plane	What does the pilot do before take off ?hug another girl and pose for the camera with her	What does the pilot do before take off ?kick right foot up	What does the pilot do before take off ?shake body	What does the pilot do before take off ?flip
0 1 TRANS46269 tumblr_nrjcfkUSzB1uaedmbo1_250 What does the woman do before grab hair ?close mouth	What does the woman do before grab hair ?flip hair back and forth	What does the woman do before grab hair ?raise arm	What does the woman do before grab hair ?place hand under face	What does the woman do before grab hair ?behind car
1 3 TRANS45238 tumblr_nrae7mMdrN1ua4mf8o1_400 What does the cat do after face clean ?close eye	What does the cat do after face clean ?move object away from face	What does the cat do after face clean ?step forward	What does the cat do after face clean ?cheese on face	What does the cat do after face clean ?push man down
2 3 TRANS56871 tumblr_nk50qbAqRO1t0m9wio1_500 What does the girl do before open eye ?walk away	What does the girl do before open eye ?smile	What does the girl do before open eye ?touch face	What does the girl do before open eye ?move backward	What does the girl do before open eye ?throw wood
2 0 TRANS52961 tumblr_ndlpxdOjzF1secmhko1_500 What does the old man do before close eye and shake head ?stand	What does the old man do before close eye and shake head ?smile	What does the old man do before close eye and shake head ?blow kiss towards camera	What does the old man do before close eye and shake head ?start talk	What does the old man do before close eye and shake head ?catch a fish
3 0 TRANS13545 tumblr_ngg49ohpJN1tczz3so1_250 What does the woman do before move an object to left side ?stare straight ahead	What does the woman do before move an object to left side ?raise butt in air	What does the woman do before move an object to left side ?run for a touchdown	What does the woman do before move an object to left side ?offer a ring	What does the woman do before move an object to left side ?pump them up
0 3 TRANS8411 tumblr_nbw09yHJDi1ti7sj0o1_400 What does the woman in horse mask do before point ?lower head	What does the woman in horse mask do before point ?count number with finger	What does the woman in horse mask do before point ?fold up with wind	What does the woman in horse mask do before point ?dance	What does the woman in horse mask do before point ?flap paw to swim
0 4 TRANS41024 tumblr_nioqfprXtM1u1ok9so1_400 What does the man do after cover face ?touch face	What does the man do after cover face ?smile	What does the man do after cover face ?kiss woman	What does the man do after cover face ?shake head once	What does the man do after cover face ?run finger through hair
3 2 TRANS33187 tumblr_nfckllneRm1s3i8oso1_500 What does the man do before look to left ?disappear	What does the man do before look to left ?reach hand out	What does the man do before look to left ?dance	What does the man do before look to left ?point	What does the man do before look to left ?settle
4 2 TRANS38477 tumblr_n8ysmyqhCM1si29axo1_400 What does the man do before wave hand ?shake around	What does the man do before wave hand ?kiss the woman	What does the man do before wave hand ?point to himself	What does the man do before wave hand ?eat	What does the man do before wave hand ?smile
2 4 TRANS23698 tumblr_nog6flLpRq1rlxl9po1_500 What does the man do after kiss collar ?shake hand down low	What does the man do after kiss collar ?sing	What does the man do after kiss collar ?kiss woman	What does the man do after kiss collar ?lick lips	What does the man do after kiss collar ?point index finger
0 2 TRANS26525 tumblr_nhtfm7N0sV1u6xoazo1_250 What does the woman do before stand straight ?talk a pen up	What does the woman do before stand straight ?play	What does the woman do before stand straight ?bend down	What does the woman do before stand straight ?happy	What does the woman do before stand straight ?show object
3 0 TRANS29923 tumblr_nc9r9w1xkp1r1pnkho1_250 What does the man do before start talk ?rub hair with hand	What does the man do before start talk ?play with tongue	What does the man do before start talk ?show the thumb up sign with a hand	What does the man do before start talk ?change glass	What does the man do before start talk ?reach for something inside the closet
0 2 TRANS45267 tumblr_ngu7rlLjP51sa0lndo1_500 What does the man do before smile ?touch face	What does the man do before smile ?roll eye	What does the man do before smile ?walk forward	What does the man do before smile ?blow a kiss	What does the man do before smile ?flip
